Angle_deg,Distance_mm,Intensity
120.10,2098,218
120.89,2098,227
121.68,1319,230
122.47,1319,222
123.26,2270,218
124.05,1413,226
124.85,1428,223
125.64,2020,211
126.43,2005,213
127.22,2192,222
128.01,2176,227
128.80,2176,228
129.59,2161,224
130.39,1740,229
131.18,1755,214
131.98,2114,221
132.78,2098,223
133.57,2052,226
134.37,2270,215
135.16,2379,230
135.96,2379,220
136.76,2363,228
137.55,2363,231
138.35,2348,228
139.10,2348,226
139.89,2332,227
140.68,2317,219
141.47,1148,227
142.26,2317,221
143.05,2317,219
143.85,1631,225
144.64,2301,223
145.43,2285,226
146.22,2285,225
147.01,2285,222
147.80,2270,224
148.63,2270,220
149.46,2239,219
150.29,2270,221
151.12,1179,223
151.95,1179,226
152.78,1662,223
153.61,1989,218
154.44,1989,222
155.27,2005,222
156.10,2005,222
156.93,2005,220
157.76,2270,216
158.55,2270,215
159.35,2270,217
160.14,2270,217
160.94,2285,218
161.73,2285,216
162.53,2285,217
163.32,1927,217
164.12,1927,222
164.91,1927,221
165.71,1943,219
166.50,1709,221
167.30,1927,215
168.06,1989,222
168.85,2005,218
169.64,2363,212
170.43,2083,214
171.22,2098,214
172.01,1257,214
172.80,1241,225
173.59,1272,213
174.38,2130,214
175.17,1350,217
175.96,1335,224
176.75,1350,213
177.58,2192,214
178.37,2472,213
179.16,2504,213
179.95,2223,212
180.74,2535,212
181.53,2550,213
182.31,2270,212
183.10,2597,212
183.89,2613,212
184.68,2628,212
185.47,2332,212
186.26,2472,211
187.06,2379,214
187.86,2379,220
188.67,2348,222
189.47,2363,220
190.27,2395,220
191.08,2410,219
191.88,2426,219
192.69,2457,219
193.49,2488,219
194.29,2504,219
195.10,2519,218
195.90,2566,217
196.69,2582,217
197.47,2613,216
198.24,2644,218
199.02,1989,210
199.80,1989,210
200.58,2753,212
201.35,2769,218
202.13,2815,218
202.91,1880,217
203.69,2098,217
204.46,2083,217
205.24,2098,225
206.07,2098,225
206.86,2098,225
207.65,2083,226
208.44,2083,224
209.23,2083,227
210.02,2083,226
210.80,2067,225
211.59,2067,227
212.38,2067,230
213.17,2067,229
213.96,2067,229
214.75,2067,230
215.54,2067,229
216.33,2067,231
217.12,2067,231
217.91,2067,228
218.70,2067,230
219.49,2067,231
220.29,2067,230
221.08,2067,231
221.87,2067,229
222.66,2067,230
223.45,2083,229
224.24,2083,228
225.03,2083,229
225.84,2098,228
226.64,2098,229
227.45,2098,225
228.26,2114,225
229.07,2114,223
229.87,2114,222
230.68,2130,224
231.49,2130,222
232.30,2145,222
233.10,2161,220
233.91,2161,220
234.74,2176,216
235.53,2130,214
236.32,2192,230
237.11,2207,227
237.90,2924,217
238.69,2176,214
239.47,2192,211
240.26,2971,222
241.05,3002,222
241.84,3018,221
242.63,3034,222
243.42,3049,220
244.21,3080,210
244.97,3111,210
245.73,3049,214
246.49,3158,211
247.25,3174,223
248.01,1646,221
248.78,1491,217
249.54,1491,220
250.30,1491,215
251.06,2472,151
251.82,2722,228
252.58,2659,225
253.37,2597,217
254.17,2410,215
254.96,2285,229
255.76,2239,230
256.56,2207,228
257.35,2176,226
258.15,2145,226
258.94,2114,228
259.74,2098,224
260.54,2083,228
261.33,2067,229
262.13,2052,226
262.94,1849,216
263.73,1849,217
264.52,1989,217
265.32,1958,228
266.11,1958,229
266.90,1989,227
267.69,2036,221
268.48,1615,222
269.27,1600,233
270.07,1615,233
270.86,4125,151
271.65,4109,214
272.48,4187,216
273.33,4171,211
274.18,4140,218
275.03,4125,217
275.88,4125,219
276.73,4125,145
277.58,4093,218
278.43,4078,215
279.28,4561,212
280.13,4561,225
280.98,4545,215
281.83,3891,213
282.62,2223,231
283.41,2207,234
284.20,2207,231
285.00,2207,231
285.79,2192,230
286.58,2207,231
287.37,2192,231
288.16,2192,231
288.95,2192,233
289.75,2192,234
290.54,2192,234
291.33,2192,220
292.13,1943,219
292.91,1927,217
293.68,1927,219
294.46,1911,219
295.24,1911,214
296.02,1911,217
296.79,2192,225
297.57,2254,226
298.35,2597,232
299.13,2597,232
299.90,1771,219
300.68,1771,220
301.51,1787,213
302.34,2628,219
303.17,2644,230
304.00,2644,230
304.83,2659,229
305.66,2659,229
306.49,2675,229
307.32,2691,229
308.15,2706,227
308.98,2706,227
309.81,2722,218
310.64,2379,216
311.43,2379,219
312.23,2379,220
313.02,2815,222
313.82,2847,225
314.61,2909,216
315.41,3579,223
316.20,3657,224
317.00,3704,225
317.79,1958,217
318.59,1943,222
319.38,1958,217
320.18,5122,223
320.94,5169,222
321.73,5200,222
322.53,5247,222
323.32,4904,223
324.11,3501,217
324.90,3548,218
325.70,3673,217
326.49,3844,214
327.28,3984,215
328.07,4156,217
328.87,4218,220
329.66,4265,225
330.48,4327,225
331.28,4374,223
332.08,4421,225
332.88,4468,223
333.68,4530,224
334.48,4577,224
335.27,4639,224
336.07,4701,224
336.87,4764,214
337.67,2208,225
338.47,2192,225
339.27,2161,227
340.06,2130,223
340.86,2099,224
341.65,2083,227
342.45,2067,226
343.25,2036,225
344.05,2021,224
344.84,1989,222
345.64,1989,220
346.44,1958,221
347.24,1943,219
348.03,1943,219
348.83,2675,216
349.58,2644,221
350.36,2613,219
351.13,2597,221
351.91,2582,220
352.69,2566,218
353.47,2052,218
354.24,2036,219
355.02,2036,216
355.80,2052,215
356.58,2473,215
357.35,2021,215
358.13,2036,214
358.96,2021,214
359.73,2021,215
0.49,2410,213
1.26,1989,215
2.03,2379,211
2.80,2052,215
3.56,2067,213
4.33,2254,211
5.10,1678,216
5.87,1709,203
6.63,2005,213
7.40,2223,212
7.97,1989,212
8.76,1724,210
9.56,1678,212
10.35,1678,190
11.14,1678,212
11.94,1709,218
12.73,1787,217
13.53,1787,218
14.32,1802,216
15.11,1849,210
15.91,1943,218
16.70,1927,218
17.49,1912,219
18.28,1912,219
19.08,1896,218
19.87,1896,217
20.66,1880,215
21.46,1880,216
22.25,1880,216
23.05,1771,211
23.84,1802,210
24.63,1974,212
25.43,1974,180
26.22,2332,221
27.01,2348,217
27.80,2379,210
28.59,2395,217
29.38,3127,217
30.17,3127,226
30.96,3127,223
31.75,3143,224
32.54,3158,224
33.33,3158,224
34.12,3174,224
34.91,3174,224
35.70,3190,223
36.49,3205,223
37.28,3221,226
38.07,3236,224
38.86,3252,223
39.65,3252,213
40.44,3252,122
41.23,3299,138
42.02,3299,168
42.81,3299,119
43.60,3345,129
44.39,3361,122
45.18,3408,126
45.98,3439,132
