Angle_deg,Distance_mm,Intensity
192.16,3190,203
192.95,3175,217
193.74,3159,218
194.53,3144,218
195.32,3128,219
196.11,3112,215
196.91,3112,218
197.70,3112,217
198.49,3097,217
199.28,3081,216
200.07,3066,218
200.86,3066,217
211.45,3034,218
212.24,3050,212
213.04,3066,210
213.83,2380,213
214.62,2395,230
215.41,2411,216
216.21,2380,200
217.00,2364,213
217.79,3081,218
218.58,3081,223
219.38,3112,211
220.17,1585,215
230.50,2910,215
231.31,2770,217
232.12,2333,215
232.94,2255,216
233.75,2208,215
234.56,2115,228
235.37,2053,224
236.18,1990,222
236.99,1803,213
237.81,1803,216
238.62,1850,214
239.43,1881,235
249.27,3564,211
250.06,3455,203
250.86,3455,168
251.65,3549,216
252.45,3564,212
253.24,2957,213
254.04,3814,223
254.83,3938,216
255.63,3970,224
256.42,3954,218
257.22,3938,217
258.01,1928,215
268.57,1632,222
269.39,1819,216
270.21,1772,215
271.04,1710,221
271.86,1725,221
272.68,1336,217
273.50,1336,222
274.32,1336,218
275.14,1585,230
275.97,1585,228
276.79,1866,225
277.61,1850,227
287.93,2162,232
288.74,2162,230
289.56,2162,232
290.37,2177,232
291.18,2177,232
291.99,2177,219
292.81,1850,221
293.62,1866,222
294.43,2208,223
295.24,2208,233
296.06,2162,217
296.87,2099,230
307.19,3206,219
307.98,4484,223
308.77,4500,223
309.56,4531,225
310.35,4562,223
311.14,4593,225
311.93,4624,220
312.72,4313,215
313.51,4281,222
314.30,4297,221
315.09,4328,221
315.88,4359,223
326.20,4001,225
326.99,4048,226
327.79,1678,225
328.58,1678,223
329.37,1710,216
330.17,1554,212
330.96,1538,226
331.76,1554,222
332.55,1569,210
333.34,1803,212
334.14,1834,211
334.93,1928,197
345.76,2006,232
346.48,1990,234
347.20,1975,230
347.92,1959,232
348.64,1943,233
349.36,1928,230
350.09,1928,232
350.81,1476,226
351.53,1476,224
352.25,1491,223
352.97,1866,216
353.69,1616,221
4.01,1741,226
4.83,1725,229
5.66,1725,235
6.48,1725,235
7.30,1725,237
8.12,1710,234
8.95,1725,230
9.77,1102,224
10.59,1102,226
11.41,1102,221
12.24,1133,213
13.06,1663,224
22.86,1429,222
23.65,1429,221
24.44,1429,221
25.23,1414,220
26.02,1429,221
26.81,1414,221
27.61,1414,222
28.40,1414,222
29.19,1460,230
