Angle_deg,Distance_mm,Intensity
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
86.98,1024,233
87.77,1039,217
88.56,899,228
89.35,884,234
90.14,899,241
90.93,899,238
91.72,899,238
92.51,899,238
93.30,899,235
94.09,946,234
94.88,946,240
95.67,946,240
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
97.27,977,238
98.07,1039,234
98.88,1071,232
99.69,1086,235
100.49,1086,242
101.30,1071,238
102.10,1086,237
102.91,1133,235
103.72,1149,231
104.52,1663,222
105.33,1694,234
96.46,962,241
