Angle_deg,Distance_mm,Intensity
30.80,1529,232
31.60,1529,234
32.41,1529,232
33.21,1514,236
34.01,1405,218
34.81,2838,223
35.62,2838,226
36.42,2854,225
37.22,2885,225
38.02,2901,225
38.83,2916,225
39.63,2932,224
33.14,1729,128
33.40,11348,24
33.91,3290,222
34.16,3322,219
34.42,3368,219
34.67,3400,219
34.93,3431,219
59.14,3368,224
59.93,3322,225
60.73,3290,226
61.52,3244,224
62.31,3212,227
63.10,3166,227
63.90,3135,225
64.69,3103,226
65.48,3072,226
66.27,3025,222
67.07,2994,223
67.86,2994,220
78.15,2121,224
78.93,2184,224
79.70,2246,223
80.48,2308,222
81.26,2386,220
82.03,2464,219
82.81,2558,222
83.58,2573,225
84.36,2558,222
85.14,2324,214
85.91,2308,221
86.69,2340,214
97.01,2589,217
97.80,2620,220
98.58,2651,216
99.37,2496,129
100.16,2433,155
100.94,143,197
101.73,176,215
102.51,179,219
103.30,180,211
104.09,139,193
104.87,174,218
105.66,191,219
116.44,2215,227
117.23,2277,226
118.03,2371,215
118.82,2433,210
119.61,2527,212
120.41,2527,210
121.20,2527,224
122.00,2527,214
122.79,2496,212
123.58,2433,216
124.38,1841,230
125.17,1950,226
135.48,2916,230
136.27,2916,229
137.05,1592,231
137.84,2901,224
138.63,2901,230
139.41,2885,230
140.20,2885,229
140.98,1451,218
141.77,1420,230
142.56,1436,231
143.34,1498,223
144.13,1560,236
154.45,2901,230
155.24,2901,230
156.03,2916,227
156.82,1934,230
157.61,2901,227
158.40,2916,222
159.18,2464,219
159.97,2402,228
160.76,2464,222
161.55,1716,220
162.34,1716,226
163.13,1498,228
173.69,2979,221
174.48,2901,222
175.28,2901,223
176.07,2932,223
176.87,2963,215
177.66,2963,221
178.46,2994,223
179.25,3010,225
180.05,3041,226
180.84,3057,227
181.64,3072,222
182.43,2464,211
192.73,3150,212
193.52,3166,217
194.31,3135,218
195.10,3135,216
195.89,3119,216
196.68,3119,216
197.48,3119,218
198.27,3103,218
199.06,3088,217
199.85,3088,216
200.64,3072,217
201.43,3072,218
211.74,3057,215
212.53,2542,211
213.33,2355,214
214.12,2402,227
214.91,2402,224
215.70,2386,142
216.50,2371,214
217.29,3088,211
218.08,3088,222
218.87,3103,218
219.67,1607,214
220.46,1607,214
230.74,2854,215
231.54,2386,212
232.35,2293,217
233.15,2215,217
233.95,2137,224
234.75,2090,226
235.56,2028,221
236.36,1966,212
237.16,1794,215
237.96,1794,213
238.77,1888,229
239.57,1856,231
249.70,3477,210
250.49,3462,210
251.29,3555,214
252.08,3571,217
252.88,2963,214
253.67,3836,211
254.47,3820,225
255.26,3961,223
256.06,3976,222
256.85,3945,218
257.65,3914,218
258.44,1934,225
269.00,1623,214
269.81,1810,220
270.62,1747,220
271.43,1732,224
272.24,1342,212
273.05,1326,219
273.85,1342,221
274.66,1591,217
275.47,1591,229
276.28,1607,217
277.09,1856,226
277.90,1856,228
288.22,2168,233
289.03,2168,232
289.85,2168,233
290.66,2183,232
291.47,2183,232
292.28,1872,218
293.10,1872,220
293.91,1872,218
294.72,2215,231
295.53,2215,229
296.35,2106,227
297.16,2106,231
307.76,4475,213
308.55,4490,224
309.35,4521,222
310.14,4553,224
310.93,4584,223
311.73,4615,221
312.52,4662,220
313.32,4303,222
314.11,4288,222
314.90,4319,224
315.70,4334,222
316.49,4381,222
326.81,4023,226
327.60,4069,218
328.40,1669,223
329.19,1669,219
329.98,1700,215
330.78,1544,224
331.57,1544,225
332.37,1560,219
333.16,1794,213
333.95,1825,213
