Angle_deg,Distance_mm,Intensity
312.30,3244,48
313.10,38,67
313.89,53,77
314.69,68,80
315.48,2963,74
316.28,2885,96
317.07,2854,210
317.87,2839,213
318.66,2885,211
319.46,2885,226
320.25,2823,228
321.05,2776,226
331.33,2044,212
332.13,1919,211
332.94,1872,213
333.74,1841,214
334.54,1825,215
335.35,1810,214
336.15,1794,219
336.96,1732,220
337.76,1716,224
338.56,1732,220
339.37,1841,211
340.17,1981,226
350.51,1794,230
351.23,1779,231
351.94,1763,231
352.66,1763,232
353.37,1748,231
354.09,1732,233
354.80,1732,233
355.52,1716,231
356.23,1716,232
356.95,1109,226
357.66,1109,235
358.38,1077,237
8.51,1155,231
9.31,1171,234
10.10,1186,231
10.90,1202,232
11.70,1218,232
12.49,1218,231
13.29,1233,225
14.08,1249,225
14.88,1264,232
15.68,1280,235
16.47,1280,233
17.27,1280,232
27.58,1670,230
28.37,1670,231
29.16,1685,231
29.95,1685,231
30.74,1701,232
31.53,1701,232
32.32,1716,231
33.11,1716,233
33.90,1732,232
34.69,1732,231
35.48,1451,216
36.27,1748,221
46.55,1935,228
47.37,1950,232
48.18,1966,231
49.00,1966,238
49.82,1950,223
50.63,1483,222
51.45,1483,222
52.26,1467,224
53.08,1451,223
53.90,1451,222
54.71,1436,222
55.53,1420,223
65.84,1280,228
66.58,1264,227
67.32,1264,232
68.06,1264,236
68.80,1264,232
69.54,1264,231
70.29,1296,228
71.03,1358,223
71.77,1732,220
72.51,1763,233
73.25,1748,227
73.99,1467,216
84.05,1249,212
84.84,1249,218
85.64,113,215
86.43,610,214
87.22,594,217
88.01,610,216
88.81,594,219
89.60,594,215
90.39,610,214
91.18,182,218
91.98,175,221
92.77,178,223
80.58,797,212
109.52,672,222
138.46,657,223
167.40,657,223
196.34,641,220
225.29,641,223
254.23,641,219
283.17,579,210
312.11,1077,129
341.05,828,211
9.99,812,210
112.90,719,210
113.69,719,212
114.48,734,226
115.27,468,227
116.06,460,221
116.85,501,219
117.64,493,228
118.43,750,218
119.22,750,225
120.01,625,174
120.80,625,217
121.59,641,232
132.01,610,220
132.80,657,211
133.60,594,224
134.39,579,230
135.18,579,230
135.97,563,216
136.77,516,211
137.56,516,212
138.35,532,212
139.14,532,214
139.94,516,216
140.73,516,231
151.04,470,224
151.84,454,217
152.65,439,213
153.45,431,215
154.25,427,217
155.06,425,218
155.86,417,217
156.67,413,220
157.47,411,217
158.27,410,218
159.08,402,219
159.88,413,225
170.19,187,217
170.99,191,217
171.79,193,217
172.59,187,219
173.39,184,215
174.19,189,220
174.99,192,219
175.79,187,216
176.59,191,218
177.39,193,216
178.19,194,217
178.99,188,218
189.56,324,225
190.35,333,215
191.15,68,211
191.94,83,213
192.73,90,213
193.52,109,216
194.32,303,220
195.11,303,222
195.90,296,227
196.69,279,230
197.49,271,228
198.28,267,231
208.67,340,227
209.46,348,227
210.25,352,226
211.04,354,230
211.83,355,231
212.62,356,229
213.40,368,233
214.19,362,226
214.98,385,230
215.77,364,229
216.56,353,232
217.35,366,230
227.49,355,226
228.28,367,217
229.07,438,220
229.86,438,222
230.65,453,224
231.44,445,227
232.23,427,228
233.02,410,229
233.81,402,232
234.60,398,232
235.39,389,235
236.18,384,233
246.49,4584,212
247.28,4740,213
248.07,4911,218
248.86,5052,221
249.65,5036,222
250.44,5021,225
251.23,5005,225
252.02,4943,219
252.81,4787,226
253.60,4771,226
254.39,4802,215
255.18,4927,217
265.46,3509,220
266.25,3509,223
267.05,3540,212
267.84,3244,217
268.63,3197,223
269.42,3181,224
270.22,3150,226
271.01,3166,226
271.80,3181,226
272.59,3213,228
273.39,3259,227
274.18,3291,230
284.89,6205,184
285.70,6143,211
286.51,6080,212
287.32,6065,212
288.13,6049,210
288.94,6003,211
289.75,4335,222
290.56,4288,230
291.37,4257,226
292.18,4257,210
292.99,5862,211
293.80,5831,212
304.11,3711,225
304.88,3696,228
305.65,3680,227
306.42,3680,227
307.19,3665,226
307.96,3649,227
308.73,3649,228
309.50,3649,227
310.27,3633,217
311.04,143,64
311.81,90,74
312.58,86,74
215.15,22,80
233.01,2870,96
250.88,2839,211
268.74,2839,211
286.60,2916,213
304.46,2870,226
322.33,2823,227
340.19,2776,226
358.05,2714,229
15.91,2652,229
332.44,1857,214
333.31,1841,214
334.18,1825,214
335.05,1810,215
335.92,1794,218
336.79,1716,221
337.66,1716,224
338.53,1732,219
339.40,1935,215
340.27,1981,226
341.14,1966,225
342.01,1950,227
352.33,1763,231
353.07,1763,231
353.81,1748,233
354.55,1732,231
355.29,1732,232
356.03,1732,231
356.78,1716,229
357.52,1109,228
358.26,1109,237
359.00,1077,240
359.74,1109,239
0.48,1077,238
10.57,1186,230
11.36,1202,231
12.16,1218,230
12.95,1218,229
13.74,1233,223
14.54,1249,229
15.33,1264,231
16.13,1280,237
16.92,1280,230
17.71,1280,232
18.51,1280,231
19.30,1296,225
29.43,1685,230
30.19,1685,230
30.95,1701,230
31.71,1701,230
32.47,1716,231
33.23,1732,233
33.99,1732,233
34.75,1732,231
35.51,1451,222
36.27,1763,226
37.03,1763,229
37.79,1794,223
48.11,1966,235
48.90,1966,236
49.70,1950,220
50.49,1498,223
51.28,1483,222
52.07,1467,222
52.87,1451,222
53.66,1436,222
54.45,1436,222
55.24,1405,223
56.04,1405,223
56.83,1389,223
67.15,1264,232
67.94,1264,233
68.72,1264,230
69.51,1264,228
70.30,1311,228
71.08,1373,223
71.87,1732,223
72.65,1763,233
73.44,1748,225
74.23,1483,215
75.01,1280,213
75.80,1233,215
215.99,6188,14
247.79,8608,128
95.60,174,217
96.38,158,214
97.15,170,213
97.93,176,212
98.71,185,215
99.48,177,219
100.26,193,226
101.03,201,231
101.81,205,227
102.59,207,219
103.36,703,212
104.14,672,221
114.60,734,224
115.39,453,228
116.19,460,219
116.98,501,222
117.77,501,226
118.57,750,223
119.36,750,226
120.16,610,203
120.95,625,219
121.74,641,232
122.54,657,235
123.33,657,235
133.42,594,226
134.24,579,231
135.07,579,230
135.89,547,215
136.71,547,211
137.53,516,212
138.36,516,215
139.18,532,211
140.00,516,217
140.82,516,232
141.65,516,235
142.47,516,235
152.75,445,213
153.55,434,214
154.36,429,215
155.16,426,219
155.96,417,216
156.76,413,217
157.57,418,217
158.37,413,216
159.17,411,217
159.97,417,224
160.78,420,228
161.58,422,235
171.86,197,217
172.66,196,217
173.45,189,217
174.25,192,218
175.05,193,217
175.84,187,217
176.64,184,218
177.43,183,217
178.23,189,217
179.03,192,216
179.82,193,217
180.62,194,218
191.08,98,210
191.87,167,212
192.65,132,214
193.44,115,212
194.23,114,216
195.01,303,222
195.80,289,226
196.58,276,228
197.37,269,229
198.16,272,230
198.94,274,234
199.73,281,231
210.04,342,226
210.85,349,229
211.67,353,232
212.48,355,230
213.29,356,232
214.10,368,228
214.92,388,227
215.73,384,231
216.54,363,232
217.35,371,230
218.17,382,233
218.98,362,226
229.34,438,218
230.13,438,221
230.92,453,225
231.71,445,224
232.50,427,225
233.29,410,228
234.07,402,230
234.86,391,234
235.65,385,233
236.44,389,233
237.23,391,234
238.02,392,232
248.15,4911,218
248.94,5052,221
249.74,5036,224
250.53,5005,223
251.32,4989,226
252.12,4849,214
252.91,4787,227
253.71,4787,223
