Angle_deg,Distance_mm,Intensity
276.00,316,237
276.82,316,239
277.64,316,235
278.46,323,237
279.28,320,239
280.10,318,238
280.91,324,239
281.73,327,238
282.55,328,235
283.37,329,237
284.19,380,223
285.01,380,220
285.77,362,219
286.59,346,222
287.41,345,222
288.23,337,225
289.05,333,226
289.87,331,231
290.68,324,231
291.50,327,232
292.32,328,231
293.14,322,229
293.96,312,235
294.78,301,232
295.57,302,232
296.36,302,233
297.16,296,231
297.95,286,226
298.74,196,224
299.54,189,230
300.33,185,229
301.13,197,220
301.92,263,230
302.71,276,235
303.51,269,234
304.30,236,230
305.10,216,237
305.92,206,233
306.74,201,228
307.57,205,234
308.39,220,229
309.21,290,232
310.03,296,234
310.85,299,235
311.67,308,235
312.50,312,230
313.32,321,228
314.14,325,223
314.90,395,217
315.69,453,145
316.49,5987,216
317.28,6221,218
318.08,6143,219
318.87,6096,221
319.67,5972,219
320.46,5956,219
321.26,548,216
322.05,548,226
322.85,5847,215
323.64,5800,221
324.47,5753,222
325.26,579,221
326.05,563,228
326.84,548,226
327.63,532,215
328.42,532,217
329.21,548,215
330.00,276,212
330.79,276,215
331.58,269,218
332.37,272,221
333.16,274,224
333.96,275,228
334.77,282,223
335.58,286,214
336.39,5255,113
337.20,5239,220
338.01,5224,222
338.82,5208,224
339.63,5208,221
340.44,5208,221
341.25,5239,220
342.06,5270,219
342.87,5317,220
343.67,5364,219
344.46,5426,210
345.26,5021,214
346.05,4974,215
346.84,4974,151
347.64,4896,216
348.43,4849,215
349.23,4834,211
350.02,344,74
350.81,4881,214
351.61,5130,87
352.40,5130,219
352.43,5255,215
353.22,5379,223
354.01,5333,224
354.80,5270,221
355.59,5224,222
356.38,5161,220
357.17,5099,222
357.96,5068,221
358.75,5021,220
359.54,4974,221
0.33,5052,218
1.12,5177,221
1.91,5146,224
2.70,5146,210
3.49,5130,116
4.28,5036,119
5.07,5052,145
5.86,4927,158
6.65,4865,217
7.44,4865,219
8.23,4849,212
9.02,23,58
9.81,60,64
10.60,6533,212
