Angle_deg,Distance_mm,Intensity
246.10,323,236
246.84,323,237
247.59,323,235
248.33,316,236
249.07,319,236
249.82,314,236
250.56,318,237
251.31,313,237
252.05,311,237
252.79,310,238
253.54,309,235
254.28,309,237
255.08,309,236
255.88,309,240
256.69,302,237
257.49,305,242
258.29,307,237
259.09,308,238
259.90,308,240
260.70,308,238
261.50,308,238
262.30,308,238
263.11,308,237
263.91,308,237
264.74,308,238
265.53,308,238
266.33,308,237
267.12,308,237
267.91,308,238
268.71,308,236
269.50,308,237
270.30,308,238
271.09,315,234
271.88,312,237
272.68,310,235
273.47,309,240
274.26,316,235
275.08,319,237
275.90,321,237
276.72,315,236
277.54,312,237
278.36,317,236
279.17,320,236
279.99,321,238
280.81,322,236
281.63,322,237
282.45,329,235
283.27,332,234
284.07,347,223
284.88,367,220
285.70,358,218
286.51,347,222
287.32,341,223
288.13,338,227
288.95,337,228
289.76,330,228
290.57,326,231
291.38,324,233
292.20,316,232
293.01,319,233
293.84,321,234
294.63,315,234
295.43,319,231
296.22,307,230
297.01,308,231
297.81,308,226
298.60,188,223
299.40,188,228
300.19,188,228
300.98,201,222
301.78,269,230
302.57,275,233
303.36,278,236
304.15,242,229
304.94,222,237
305.73,205,239
306.52,196,229
307.31,205,232
308.10,210,230
308.89,296,231
309.68,296,235
310.47,302,234
311.26,305,234
312.05,307,232
312.91,315,231
313.70,325,222
314.49,387,215
315.28,409,148
316.07,5994,214
316.86,6228,217
317.66,6166,220
318.45,6088,218
319.24,5994,218
320.03,5963,220
320.82,555,217
321.61,555,228
322.40,5838,216
323.19,5792,224
323.99,5760,224
324.78,570,220
325.57,570,232
326.37,570,229
327.16,539,216
327.96,539,218
328.75,524,216
329.54,282,214
330.34,282,217
331.13,282,218
331.92,282,223
332.77,282,225
333.61,282,228
334.46,282,228
335.30,282,215
336.15,289,122
336.99,5231,219
337.84,5215,223
338.68,5215,223
339.53,5199,221
340.37,5215,221
341.22,5231,220
342.01,5262,218
342.80,5308,219
343.59,5355,219
344.38,5418,212
345.17,5028,212
345.96,4981,216
346.74,4966,184
347.53,4903,216
348.32,4856,213
349.11,4856,213
349.90,30,71
350.69,4872,213
351.49,4950,109
352.21,5137,219
352.93,5231,217
353.65,5402,225
354.37,5355,222
355.09,5277,222
355.82,5231,222
356.54,5184,221
357.26,5121,222
357.98,5059,221
358.70,5012,223
359.42,4981,220
0.22,5028,221
1.00,5168,218
1.78,5168,222
2.56,5137,214
3.34,5121,187
4.12,5090,109
4.90,4997,164
5.68,4950,135
6.46,4872,215
7.24,4825,221
8.02,4856,217
8.80,242,58
9.56,158,90
10.35,6540,210
11.15,6524,113
11.94,60,61
12.73,82,80
13.52,71,74
14.32,4576,220
15.11,4545,224
15.90,4529,223
16.69,6259,210
17.49,6228,212
18.28,175,48
19.04,110,64
19.82,92,64
20.59,76,51
21.37,90,71
22.15,75,58
22.92,4358,211
23.70,4030,223
24.47,4015,224
25.25,3999,224
26.03,3999,222
26.80,3968,222
27.58,3968,221
28.38,3952,223
29.18,3937,223
29.97,3937,224
30.77,3921,225
31.57,3906,225
32.36,3906,223
33.16,3890,225
33.95,3890,225
34.75,3843,221
35.55,3719,220
36.34,3641,219
37.14,3532,220
37.58,3454,222
38.37,3360,221
39.17,3298,222
39.96,3204,222
40.75,3142,222
41.54,3080,221
42.34,3002,222
43.13,2955,222
43.92,2893,224
44.71,2846,223
45.51,2799,223
46.30,2737,225
47.13,2690,224
47.93,2643,225
48.73,2612,225
49.53,2565,226
50.33,2519,225
51.13,2487,225
51.93,2441,225
52.73,2409,227
53.53,2378,227
54.33,2347,227
55.13,2316,227
55.93,2285,230
56.72,2254,229
57.51,2238,229
58.31,2207,229
59.10,2176,227
59.89,2145,228
60.68,2129,230
61.48,2113,229
62.27,2082,229
63.06,2067,230
63.85,2051,229
64.65,2020,228
65.44,2004,232
66.23,1989,231
66.99,1973,230
67.76,1957,231
68.52,1942,229
69.29,1926,232
70.05,1911,231
70.82,1895,231
71.58,1880,230
72.35,1864,229
73.11,1864,231
73.88,1848,229
74.64,1833,224
75.47,1817,228
76.26,1817,231
77.04,1802,227
77.83,1786,228
78.62,1786,229
79.40,1770,232
80.19,1770,228
80.97,1755,231
81.76,1755,231
82.55,898,225
83.33,882,232
84.12,898,235
84.92,898,234
85.72,913,230
86.51,1007,236
87.31,1022,234
88.11,1038,213
88.90,898,231
89.70,898,237
90.49,898,238
91.29,898,239
92.09,898,240
92.88,898,238
93.68,898,230
94.43,929,235
95.16,944,242
95.90,944,242
96.63,960,240
97.37,976,239
98.10,1022,233
98.84,1069,234
99.57,1085,237
100.31,1069,240
101.04,1069,238
101.78,1085,234
102.51,1131,240
103.34,1147,231
104.17,1661,217
105.00,1693,232
105.83,1693,234
106.66,1693,236
107.49,1708,235
108.32,1708,232
109.15,1708,233
109.98,1708,233
110.81,1724,234
111.64,1412,222
112.47,1739,231
113.26,1739,231
114.05,1755,226
114.85,1755,232
115.64,1755,232
116.43,1770,230
117.22,1770,229
118.02,1786,230
118.81,1786,231
119.60,1802,231
120.39,1817,226
121.19,1817,229
121.98,1833,231
122.77,1848,231
123.55,1864,231
124.33,1880,231
125.11,1895,229
125.89,1428,222
126.67,1396,222
127.46,1396,221
128.24,1381,220
129.02,1365,222
129.80,1334,221
130.58,1318,223
131.36,1303,222
132.15,1287,223
132.94,1272,221
133.73,1256,223
134.52,1256,222
135.31,1241,222
136.10,1225,223
136.89,1209,220
137.68,1209,221
138.47,1194,224
139.26,1209,222
140.05,1241,219
140.84,1272,220
141.63,1303,218
142.46,1209,217
143.30,1365,214
144.13,90,214
144.96,90,216
145.79,97,222
146.63,93,224
147.46,91,226
148.29,98,229
149.12,94,231
149.96,84,228
150.79,87,228
151.55,88,227
152.37,89,227
153.19,97,223
154.01,1537,221
154.83,105,221
155.65,97,226
156.47,93,230
157.29,91,230
158.11,83,233
158.93,79,234
159.75,77,229
160.57,76,229
161.36,68,224
162.15,71,224
162.94,73,226
163.73,74,231
164.52,74,236
165.31,67,241
166.10,71,245
166.89,65,248
167.68,62,248
168.47,61,245
169.26,60,244
170.05,60,245
170.84,60,244
171.65,60,242
172.46,60,245
173.27,60,245
174.08,60,244
174.89,67,242
175.70,71,241
176.51,73,244
177.32,74,244
178.13,74,241
178.94,74,240
179.75,74,237
180.54,74,244
181.33,74,244
182.13,74,242
182.92,74,239
183.71,82,239
184.51,86,232
185.30,80,230
186.10,77,224
186.89,83,229
187.68,86,230
188.48,80,235
189.27,77,228
190.03,83,220
190.82,94,212
191.62,99,212
192.41,102,211
193.20,118,164
193.99,726,180
194.79,835,215
195.58,773,213
196.37,757,226
197.16,742,230
197.96,711,231
198.75,695,226
199.58,664,227
200.39,664,223
201.21,633,226
202.02,586,220
202.83,586,217
203.64,539,217
204.46,539,223
205.27,524,228
206.08,508,226
206.89,500,227
207.71,496,228
208.52,494,231
209.31,477,234
210.13,468,229
210.96,464,231
211.78,440,226
212.60,309,231
213.43,309,224
214.25,387,222
215.08,375,212
215.90,395,211
216.72,405,213
217.55,418,214
218.37,296,217
219.09,289,221
219.89,285,233
220.68,277,233
221.48,363,227
222.28,363,229
223.07,363,233
223.87,375,233
224.66,388,233
225.46,387,233
226.26,375,233
227.05,381,235
227.85,384,235
228.64,385,231
229.44,386,231
230.24,374,235
231.04,368,233
231.84,365,234
232.64,364,231
233.44,357,232
234.24,353,232
235.04,351,233
235.84,350,235
236.64,350,233
237.44,350,234
238.27,343,233
239.06,339,237
239.86,337,235
240.65,330,235
241.44,333,235
242.23,328,236
243.03,318,235
243.82,320,234
244.61,321,234
245.40,315,234
246.20,319,237
246.99,321,237
247.61,322,236
248.40,322,238
249.19,315,236
249.98,319,236
250.77,314,238
251.56,311,236
252.35,310,239
253.14,309,236
253.93,309,237
254.72,309,237
255.51,309,237
256.30,309,236
257.16,309,237
257.96,309,239
258.76,309,238
259.56,309,238
260.36,309,236
261.16,309,237
261.96,309,238
262.76,309,236
263.56,309,241
264.36,309,238
265.16,309,235
265.96,309,235
266.76,309,238
267.55,309,237
268.35,309,238
269.14,309,237
269.93,309,236
270.72,309,236
271.52,309,237
272.31,309,238
273.10,309,238
273.89,316,236
274.69,319,237
275.48,314,241
276.23,311,237
277.05,310,237
277.88,316,236
278.70,312,237
279.52,317,236
280.35,320,236
281.17,321,238
282.00,328,234
282.82,332,233
283.64,341,227
284.47,352,220
285.29,357,219
286.08,360,219
286.90,348,222
287.71,342,223
288.53,339,226
289.35,331,230
290.16,327,231
290.98,325,230
291.79,317,232
292.61,313,233
293.43,311,232
294.24,303,232
295.06,299,234
295.89,304,232
296.68,293,231
297.47,287,229
298.26,284,223
299.05,188,226
299.84,188,230
300.63,188,226
301.42,282,226
302.21,275,234
303.00,278,236
303.79,273,234
304.58,215,232
305.33,208,237
306.16,198,230
306.98,200,232
307.81,207,230
308.64,224,231
309.46,296,234
310.29,296,237
311.11,302,234
311.94,305,233
312.77,314,230
313.59,318,226
314.42,327,219
315.18,445,214
315.97,5963,129
316.77,5994,216
317.56,6181,220
318.35,6119,220
319.14,6088,220
319.94,5963,221
320.73,5994,215
321.52,555,222
322.31,555,222
323.11,5823,220
323.90,5776,221
324.73,5745,221
325.52,570,224
326.30,570,230
327.09,555,222
327.88,539,216
328.66,539,217
329.45,539,212
330.23,282,213
331.02,282,214
331.81,282,220
332.59,282,225
333.38,282,226
334.17,282,229
