Angle_deg,Distance_mm,Intensity
251.22,309,236
252.01,309,238
252.80,309,237
253.59,309,237
254.38,309,237
255.17,309,236
255.96,309,236
256.75,302,236
257.54,299,236
258.33,304,240
259.12,307,238
259.91,308,239
260.67,309,241
261.44,309,238
262.21,309,237
262.98,309,236
263.75,309,238
264.52,309,239
265.29,309,237
266.06,309,238
266.83,309,238
267.60,309,237
268.37,302,238
269.14,306,237
269.90,308,237
270.72,309,238
271.53,309,234
272.35,309,236
273.16,309,237
273.98,309,236
274.79,309,239
275.61,309,239
276.42,316,237
277.24,319,236
278.05,321,236
278.87,322,237
279.67,322,237
280.46,322,236
281.26,322,236
282.05,329,237
282.84,333,234
283.63,335,228
284.43,351,222
285.22,359,218
286.01,354,218
286.80,345,221
287.60,341,224
288.39,339,228
289.19,338,229
289.99,330,229
290.80,320,230
291.60,321,232
292.40,315,231
293.20,319,231
294.01,314,235
294.81,305,231
295.61,300,233
296.41,298,231
297.22,297,228
298.02,290,225
298.81,189,227
299.62,189,230
300.43,189,224
301.24,283,226
302.05,276,234
302.86,279,234
303.67,281,235
304.48,202,234
305.29,202,239
306.10,195,231
306.91,192,231
307.72,203,229
308.51,222,230
309.30,296,235
310.09,296,235
310.88,303,234
311.67,306,234
312.46,314,233
313.25,318,226
314.04,327,216
314.83,416,212
315.62,5995,180
316.41,6010,213
317.20,6197,220
318.00,6119,220
318.79,6072,218
319.59,5948,221
320.38,5995,214
321.17,539,222
321.96,555,221
322.76,5808,221
323.55,5776,222
324.34,5730,219
325.13,571,227
325.93,555,230
326.72,555,218
327.52,539,215
328.32,539,217
329.11,283,211
329.91,283,215
330.71,276,217
331.50,279,219
332.30,281,223
333.09,282,224
333.89,282,230
334.69,282,220
335.48,296,168
336.28,5246,214
337.47,5231,222
338.26,5215,223
339.05,5200,222
339.84,5200,222
340.63,5215,220
341.42,5246,219
342.20,5278,219
342.99,5340,218
343.78,5387,218
344.57,5044,138
345.36,4997,214
346.15,4966,214
346.98,4904,211
347.70,4888,210
348.42,4857,217
349.13,4826,64
349.85,4857,206
350.57,4935,211
351.29,5106,213
352.01,5215,218
352.73,5418,223
353.44,5356,222
354.16,5293,221
354.88,5246,222
355.67,5184,222
356.47,5137,223
357.26,5091,222
358.06,5044,222
358.86,4997,223
359.65,4997,221
0.45,5091,218
1.24,5184,227
2.04,5153,217
2.84,5122,211
3.63,5044,106
4.43,5013,168
5.18,4981,168
6.00,4888,212
6.81,4826,219
7.63,4857,222
8.45,75,87
9.27,60,84
10.08,6556,129
10.90,6524,206
11.72,90,93
12.54,67,80
13.35,48,51
14.17,4592,212
15.00,4545,223
15.76,4529,224
16.52,4529,187
17.28,6228,212
18.80,150,48
19.57,142,54
20.33,116,51
21.09,125,38
21.85,115,48
22.61,4358,135
23.37,4046,215
24.16,4015,223
24.96,4000,224
25.75,4000,223
26.55,3984,224
27.34,3968,223
28.14,3953,225
28.93,3937,224
29.73,3937,224
30.52,3922,224
31.32,3906,224
32.11,3906,225
32.91,3890,225
33.67,3890,226
34.47,3844,224
35.28,3750,220
36.08,3641,219
36.88,3548,220
37.69,3454,220
38.49,3376,223
39.30,3298,221
40.10,3220,222
40.90,3158,222
41.71,3080,222
42.51,3018,222
43.34,2955,224
44.13,2909,222
44.92,2846,223
45.71,2799,224
46.50,2753,224
47.29,2706,224
48.07,2659,224
48.86,2612,227
49.65,2566,226
50.44,2519,227
51.23,2488,225
52.02,2457,227
52.79,2410,226
53.58,2379,226
54.38,2347,228
55.17,2316,229
55.96,2285,229
56.75,2270,227
57.55,2223,228
58.34,2207,229
59.13,2176,228
59.92,2160,228
60.72,2129,229
61.51,2114,230
62.30,2082,230
63.07,2067,231
63.83,2051,230
64.60,2020,230
65.37,2020,230
66.14,1989,231
66.90,1973,232
67.67,1958,230
68.44,1942,231
69.21,1927,231
69.97,1911,231
70.74,1895,229
71.54,1880,230
72.33,1864,229
73.12,1849,229
73.91,1849,231
74.70,1818,224
75.49,1818,229
76.27,1818,230
77.06,1802,231
77.85,1786,229
78.64,1786,229
79.43,1771,231
80.22,1771,228
81.01,1755,229
81.80,1755,232
82.59,898,226
83.38,882,230
84.17,882,234
84.96,898,233
85.76,914,230
86.55,1007,237
87.34,1023,233
88.13,914,216
88.92,898,233
89.71,898,236
90.50,898,240
91.27,898,237
92.03,898,239
92.80,898,238
93.57,898,232
94.34,945,236
95.10,945,241
95.87,945,240
96.64,945,241
97.41,976,239
98.17,1007,231
98.94,1054,232
99.74,1069,235
100.53,1069,242
101.32,1069,237
102.11,1069,235
102.90,1132,239
103.69,1132,234
104.47,1194,216
105.26,1693,234
106.05,1693,236
106.84,1693,234
107.63,1693,235
108.42,1708,234
109.25,1708,230
110.04,1708,232
110.82,1724,232
111.61,1412,222
112.40,1724,229
113.19,1740,230
113.97,1755,227
114.76,1755,232
115.55,1755,231
116.34,1771,230
117.12,1771,229
117.91,1786,230
118.70,1802,230
119.52,1802,231
120.34,1818,227
121.16,1818,229
121.98,1833,230
122.80,1849,231
123.62,1849,232
124.44,1864,230
125.26,1880,230
126.08,1443,221
126.90,1412,221
127.72,1397,220
128.48,1381,221
129.27,1350,221
130.06,1334,219
130.86,1319,221
131.65,1303,221
132.44,1288,223
133.23,1288,221
134.02,1272,221
134.81,1256,224
135.61,1241,221
136.40,1225,222
137.19,1210,223
137.98,1210,224
138.75,1194,223
139.53,1210,222
140.30,1225,220
141.08,1272,220
141.85,1288,218
142.63,1194,218
143.40,1366,214
144.18,90,213
144.95,90,219
145.73,105,220
146.50,97,223
147.29,93,226
148.09,91,226
148.89,90,230
149.69,90,229
150.49,90,229
151.29,82,228
152.08,78,228
152.88,84,223
153.68,94,221
154.48,92,223
155.28,91,225
156.08,83,228
156.84,79,229
157.65,77,233
158.45,83,234
159.26,79,232
160.07,77,230
160.88,76,227
161.68,75,223
162.49,75,228
163.30,75,229
164.11,75,237
164.91,75,239
165.72,75,245
166.54,67,243
167.33,63,245
168.11,61,246
168.90,60,244
169.69,60,243
170.48,67,244
171.26,63,242
172.05,61,243
172.84,60,245
173.63,60,245
174.41,67,239
175.20,71,241
175.96,73,243
176.76,66,245
177.55,70,241
178.35,72,243
179.14,73,241
179.94,81,239
180.73,78,243
181.53,76,244
182.32,75,240
183.12,75,235
183.91,82,232
184.71,86,231
185.51,88,227
186.36,89,228
187.21,82,229
188.06,86,233
188.91,88,233
189.76,81,219
190.60,85,213
191.45,80,211
192.30,100,206
193.15,117,210
194.00,118,174
194.85,820,211
195.64,773,214
196.40,773,220
197.16,758,234
197.91,727,227
198.67,695,229
199.43,695,227
200.19,664,225
200.95,649,223
201.71,617,223
202.46,571,219
203.22,586,213
203.98,539,221
204.77,539,227
205.56,508,228
206.36,508,228
207.15,500,229
207.94,488,230
208.73,474,232
209.53,467,232
210.32,456,227
211.11,451,233
211.90,310,223
212.70,310,229
213.49,310,222
214.25,330,219
215.07,460,193
215.90,438,212
216.72,427,216
217.54,421,213
218.36,296,221
219.19,296,221
220.01,289,237
220.83,279,228
221.65,337,225
222.48,387,231
223.30,387,233
224.09,394,232
224.91,398,232
225.72,392,235
226.54,371,235
227.36,379,235
228.18,383,237
228.99,385,238
229.81,376,233
230.63,372,233
231.45,370,234
232.26,369,234
233.08,368,232
233.91,359,235
234.70,354,234
235.49,352,235
236.28,351,235
237.07,344,234
237.86,340,233
238.64,338,235
239.43,337,237
240.22,337,238
241.01,337,235
241.80,330,237
242.59,326,237
243.35,324,234
244.12,323,234
244.89,323,238
245.66,323,235
246.43,323,235
247.20,323,235
247.98,316,238
248.75,319,235
249.52,314,238
250.29,312,236
251.06,311,237
251.83,310,239
252.58,310,237
253.37,310,235
254.16,310,236
254.95,310,237
255.74,310,236
256.53,310,239
257.31,310,237
258.10,310,237
258.89,310,238
259.68,310,238
260.47,310,237
261.26,310,239
262.13,310,238
262.90,310,239
263.68,310,238
264.45,310,241
265.22,310,237
266.00,310,239
266.77,310,238
267.55,310,237
268.32,310,239
269.09,310,237
269.87,310,236
270.64,310,238
271.40,310,237
272.24,310,240
273.08,310,238
273.92,316,237
274.76,319,237
275.60,314,237
276.44,318,236
277.28,320,236
278.12,321,236
278.96,322,237
279.80,322,235
280.64,322,236
281.39,322,234
282.18,322,237
282.98,329,236
283.77,339,225
284.56,363,222
285.35,375,217
286.15,323,221
286.94,330,221
287.73,333,223
288.52,328,228
289.32,332,228
290.11,334,229
290.94,335,231
291.77,329,231
292.59,326,230
293.42,324,231
294.25,317,234
295.07,306,234
295.90,287,232
296.72,298,230
297.55,290,226
298.38,189,222
299.20,189,225
300.03,189,229
300.79,189,222
301.60,256,228
302.41,262,233
303.22,272,234
304.03,242,231
304.84,222,235
305.65,212,237
306.46,200,229
307.27,201,233
308.08,208,230
308.89,283,231
309.70,289,234
310.49,299,234
311.28,304,231
312.08,313,231
312.87,318,229
313.66,327,226
314.45,347,217
315.25,446,197
316.04,5979,214
316.83,6228,216
317.62,6166,219
318.42,6104,219
319.21,5995,218
320.00,5948,219
320.79,555,216
321.59,555,227
322.38,5839,213
323.17,5792,222
323.96,5745,221
324.76,586,220
325.55,571,228
326.34,555,227
327.13,539,213
327.93,539,217
328.72,539,214
329.51,283,214
330.37,283,215
331.23,276,217
332.08,279,222
332.94,274,225
333.80,278,230
334.66,280,227
335.52,281,214
336.38,5246,116
337.23,5231,220
338.09,5215,222
338.95,5215,223
339.74,5200,222
340.53,5215,221
341.33,5246,221
342.12,5262,220
342.92,5309,220
343.71,5371,220
344.51,5418,197
345.30,5013,214
346.10,4981,214
346.89,4950,129
347.69,4904,215
348.48,4841,215
349.28,4841,210
350.01,60,106
350.75,4904,214
351.48,5106,129
352.21,5122,218
352.94,5262,214
353.68,5387,223
354.41,5324,222
355.14,5262,223
355.87,5215,221
356.61,5153,221
357.34,5106,221
358.14,5059,221
358.93,5013,222
359.73,4981,224
0.52,5044,219
1.32,5184,222
2.11,5153,222
2.91,5122,211
3.70,5106,100
4.50,5028,103
5.29,5013,168
6.09,4935,193
6.88,4872,217
7.61,4857,223
8.40,4872,210
9.20,75,67
9.99,52,80
10.79,6540,211
11.58,60,74
12.38,52,54
13.17,41,87
13.97,4592,151
14.76,4561,225
15.56,4545,224
16.35,4529,217
17.14,6260,213
17.93,6228,145
18.73,30,54
19.52,37,58
20.31,33,54
21.10,39,45
21.90,34,48
22.69,84,51
23.48,4358,216
24.27,4031,225
25.07,4015,224
25.86,4000,225
26.66,3984,223
27.45,3968,223
28.25,3953,225
29.04,3953,223
29.83,3937,226
30.63,3922,223
31.42,3922,223
32.22,3906,224
33.01,3906,226
33.80,3890,225
34.60,3875,227
35.39,3781,218
36.19,3688,221
36.95,3594,221
37.72,3501,221
38.48,3407,221
39.24,3329,221
40.00,3251,222
40.77,3174,221
41.53,3111,221
42.29,3033,224
43.05,2986,223
43.82,2924,224
44.58,2862,224
45.34,2815,225
46.13,2768,224
46.92,2722,224
47.71,2659,225
48.50,2628,225
49.29,2581,226
50.07,2550,228
50.86,2503,226
51.65,2472,226
52.44,2441,226
53.23,2394,226
54.02,2363,227
54.81,2332,227
55.60,2301,228
56.40,2270,227
57.19,2238,228
57.99,2223,228
58.78,2192,229
59.58,2160,228
60.37,2145,230
61.17,2114,230
61.96,2098,230
62.76,2082,230
63.55,2051,231
64.35,2036,231
65.10,2020,230
65.85,2005,231
66.60,1989,230
67.35,1973,231
68.10,1942,230
68.84,1927,230
69.59,1911,228
70.34,1895,229
71.09,1895,231
71.84,1880,230
72.59,1864,229
73.35,1849,229
74.14,1833,224
74.94,1818,229
75.73,1818,230
76.53,1802,229
77.32,1786,231
78.12,1786,230
78.91,1771,229
79.71,1771,231
80.50,1755,229
81.30,1755,230
82.09,1755,222
82.58,898,230
83.37,882,233
84.16,882,233
84.95,898,231
85.74,960,230
86.53,1007,240
87.33,1038,219
88.12,914,228
88.91,898,233
89.70,898,239
90.49,898,240
91.28,882,243
92.07,898,238
92.89,898,237
93.71,929,235
94.53,945,240
95.35,945,241
96.17,945,241
96.98,960,241
97.80,976,236
98.62,1038,234
99.44,1069,231
100.26,1085,237
101.08,1069,243
