Angle_deg,Distance_mm,Intensity
228.34,523,232
229.13,539,232
229.91,539,235
230.70,539,235
231.49,554,234
232.28,554,233
233.06,554,234
233.85,539,233
234.64,539,233
235.43,539,234
236.21,554,234
237.00,554,233
237.80,570,232
238.59,585,235
239.38,601,234
240.18,585,231
240.97,585,236
241.76,585,235
242.55,585,236
243.34,601,235
244.13,616,235
244.93,632,232
245.72,632,239
246.51,632,238
247.58,632,236
248.37,648,236
249.16,648,237
249.96,632,235
250.75,632,235
251.54,632,237
252.33,632,236
253.12,632,231
253.91,648,235
254.71,648,233
255.50,648,235
256.29,648,236
257.12,648,236
257.91,648,236
258.70,648,234
259.49,632,235
260.28,632,236
261.07,616,229
261.87,601,224
262.66,570,228
263.45,570,229
264.24,554,229
265.03,539,228
265.82,539,228
266.61,523,230
267.40,523,227
268.19,507,229
268.98,499,231
269.77,487,230
270.56,481,232
271.34,470,233
272.13,457,231
272.92,451,233
273.71,440,233
274.50,427,233
275.29,421,234
276.11,418,234
276.94,409,235
277.78,405,233
278.61,403,233
279.44,394,232
280.28,397,233
281.11,399,233
281.95,392,235
282.78,396,235
283.61,398,233
284.45,399,233
285.28,400,234
286.07,400,234
286.86,400,235
287.65,407,233
288.43,404,234
289.22,395,230
290.01,390,234
290.80,376,235
291.59,381,236
292.38,391,234
293.16,403,233
293.95,424,216
294.74,819,224
295.56,835,222
296.35,835,224
297.14,835,226
297.93,866,226
298.72,866,232
299.51,881,236
300.29,850,237
301.08,757,233
301.87,772,220
302.66,523,200
303.45,788,212
304.24,772,213
305.03,772,211
305.87,430,161
306.70,437,180
307.54,426,135
308.38,420,155
309.22,417,174
310.05,401,164
310.89,393,135
311.73,336,151
312.57,149,211
313.40,168,217
314.24,171,223
314.99,172,225
315.78,173,227
316.58,173,229
317.37,161,230
318.16,167,229
318.95,158,231
319.75,153,230
320.54,151,231
321.33,162,232
322.12,168,233
322.92,158,231
323.71,153,232
324.54,163,229
325.33,156,233
326.12,165,226
326.90,169,228
327.69,171,223
328.48,172,218
329.27,180,212
330.06,157,171
330.85,255,138
331.63,492,158
332.42,484,145
333.21,538,216
334.01,554,227
334.80,538,232
335.59,554,231
336.38,538,231
337.17,538,234
337.96,538,233
338.75,538,233
339.54,538,233
340.33,538,234
341.12,523,234
341.91,523,233
342.70,523,232
343.49,523,232
344.28,523,230
345.07,523,235
345.86,523,232
346.65,507,235
347.44,523,228
348.24,386,221
349.03,374,229
349.82,368,234
350.61,365,233
351.40,363,237
352.19,374,235
352.43,380,228
353.22,383,223
354.00,459,227
354.79,523,235
355.58,523,235
356.37,523,231
357.15,523,221
357.94,322,210
358.73,476,214
359.52,467,222
0.30,386,223
1.09,374,213
1.92,322,158
2.73,335,158
3.53,335,142
4.34,554,211
5.15,523,228
5.95,538,232
6.76,523,234
7.56,538,235
8.37,538,231
9.18,554,234
9.98,538,232
10.79,554,235
11.55,554,232
12.34,570,225
13.13,309,212
13.92,309,228
14.71,302,226
15.50,298,218
16.29,303,215
17.08,585,219
17.87,362,219
18.66,349,219
19.45,335,229
20.24,328,228
21.07,318,217
21.85,300,213
22.62,297,212
23.40,289,212
24.18,285,212
24.95,297,184
25.73,289,232
26.50,278,237
27.28,280,239
28.06,287,230
28.83,415,219
29.61,422,229
30.37,426,233
31.12,428,232
31.88,421,236
32.63,418,233
33.38,409,234
34.14,405,233
34.89,403,233
35.65,394,233
36.40,390,233
37.15,388,233
37.91,375,234
38.66,368,234
39.45,365,233
40.24,363,236
41.04,356,233
41.83,352,234
42.63,344,232
43.42,340,230
44.22,338,236
45.01,337,236
45.81,323,235
46.60,329,236
47.40,325,235
48.19,323,233
48.98,322,234
49.76,322,237
50.53,315,235
51.31,312,236
52.09,310,236
52.86,309,238
53.64,309,239
54.41,309,236
55.19,302,238
55.97,298,237
56.74,296,237
57.52,295,239
58.31,295,239
59.10,295,236
59.90,288,236
60.69,285,234
61.49,283,236
62.28,282,239
63.08,282,236
63.87,282,237
64.67,282,237
65.46,282,237
66.26,275,238
67.05,271,235
67.97,276,237
68.76,279,238
69.56,280,235
70.35,281,240
71.15,281,237
71.94,281,234
72.74,281,237
73.53,274,236
74.33,278,233
75.12,280,232
75.92,281,237
76.71,281,238
77.50,274,238
78.25,271,237
79.01,269,236
79.76,268,237
80.51,261,237
81.27,241,235
82.02,241,232
82.78,228,236
83.53,228,231
84.28,234,231
85.04,231,232
85.79,237,234
86.65,241,233
87.44,244,231
88.23,263,232
89.02,265,235
89.81,273,235
90.60,270,234
91.40,276,235
92.19,279,233
92.98,273,236
93.77,277,236
94.56,272,235
95.35,263,237
96.15,259,237
96.96,257,239
97.76,256,235
98.57,255,237
99.37,241,237
100.18,241,235
100.98,241,236
101.79,241,235
102.59,241,236
103.40,244,238
104.20,242,239
105.01,245,237
105.80,250,239
106.57,259,238
107.35,257,238
108.12,256,238
108.89,255,239
109.67,261,240
110.44,264,239
111.22,266,239
111.99,260,237
112.76,271,240
113.54,290,237
114.31,306,237
115.14,307,234
115.93,314,218
116.72,304,119
117.51,299,84
118.30,241,171
119.09,234,215
119.89,231,222
120.68,229,219
121.47,235,214
122.26,238,213
123.05,239,210
123.84,233,210
124.63,230,211
125.42,229,212
126.22,228,213
127.01,234,214
127.80,231,222
128.59,223,227
129.39,219,216
130.18,230,215
130.97,235,229
131.76,231,234
132.56,236,228
133.35,238,217
134.11,239,211
134.96,243,197
135.80,246,210
136.65,250,200
137.49,259,171
138.34,263,187
139.18,265,138
140.03,273,135
140.87,277,155
141.72,272,142
142.56,283,168
143.41,282,180
144.27,275,132
145.06,278,142
145.84,201,71
146.63,152,77
147.42,322,126
148.21,308,168
148.99,301,145
149.78,298,161
150.57,303,168
151.36,299,122
152.14,304,171
152.93,306,168
153.76,321,151
154.55,74,100
155.34,322,142
156.13,585,224
156.92,585,227
157.71,336,220
158.50,336,221
159.29,336,228
160.08,336,229
160.87,336,232
161.66,322,235
162.45,315,234
163.24,312,234
164.07,303,231
164.91,312,235
165.74,317,235
166.57,319,232
167.40,327,233
168.24,338,224
169.07,1489,219
169.90,1474,229
170.73,1489,227
171.57,6352,210
172.40,6321,187
173.15,1489,216
173.94,174,222
174.74,174,230
175.53,161,236
176.33,147,239
177.12,133,237
177.92,126,240
178.71,122,240
179.51,120,241
180.30,104,240
181.10,89,235
181.89,81,234
182.68,85,236
183.47,94,241
184.26,106,237
185.05,120,239
185.84,119,245
186.63,119,246
187.41,104,242
188.20,104,241
188.99,89,241
189.78,96,243
190.57,92,240
191.36,98,243
192.16,101,238
192.95,102,238
193.75,103,241
194.54,88,239
195.33,81,236
196.13,77,238
196.92,83,243
197.72,101,239
198.51,117,232
199.30,125,232
200.10,129,236
200.89,139,240
201.69,156,237
202.47,165,240
203.24,176,240
204.02,188,229
204.80,194,223
205.57,211,217
206.35,459,224
207.12,452,229
207.90,455,232
208.68,457,233
209.45,451,232
210.23,455,229
211.06,457,234
211.86,458,231
212.67,458,229
213.47,467,228
214.27,479,229
215.07,507,232
215.88,491,230
216.68,507,232
217.48,507,232
218.28,499,233
219.09,495,229
219.89,493,231
220.68,492,233
221.48,492,233
222.27,484,232
223.07,488,232
223.87,507,231
224.67,507,229
225.46,507,231
226.26,523,231
227.06,523,230
227.86,538,234
228.65,538,234
229.45,554,235
230.21,554,235
231.00,554,235
231.79,570,233
232.58,554,234
233.37,554,233
234.16,554,235
234.94,554,233
235.73,570,232
236.52,570,230
237.31,585,233
238.10,585,235
238.89,601,231
239.69,616,233
240.47,601,235
241.24,601,238
242.02,601,234
242.80,601,236
243.57,616,235
244.35,632,236
245.12,632,239
245.90,647,238
246.68,632,235
247.45,647,237
248.23,647,239
249.02,647,236
249.82,647,235
250.61,647,235
251.41,647,237
252.21,632,233
253.01,632,236
253.80,647,239
254.60,647,237
255.40,647,237
256.20,647,237
256.99,647,234
257.79,647,234
258.55,632,236
259.35,647,237
260.16,632,237
260.96,601,225
261.76,585,227
262.56,570,226
263.37,570,230
264.17,554,228
264.97,538,228
265.77,538,228
266.58,523,230
267.38,523,229
268.21,507,233
269.00,499,229
269.78,487,231
270.57,481,232
271.36,478,235
272.15,461,234
272.93,453,234
273.72,441,235
274.51,428,233
275.30,421,234
276.08,418,235
276.87,409,233
277.65,405,236
278.44,403,234
279.24,402,234
280.03,382,234
280.82,384,233
281.62,385,234
282.41,393,233
283.21,397,235
284.00,399,235
284.79,400,234
285.59,393,233
286.38,397,233
287.14,413,234
288.00,407,236
288.87,396,234
289.73,379,235
290.60,370,234
291.46,378,237
292.33,389,235
293.19,402,234
294.06,416,216
294.92,819,225
295.79,835,226
296.65,835,227
297.45,835,226
298.24,850,227
299.03,866,231
299.82,866,238
300.61,835,237
301.40,757,233
302.20,772,219
302.99,523,212
303.78,757,212
304.57,757,214
305.36,788,210
306.15,445,171
306.90,437,145
307.69,419,145
308.49,410,168
309.28,405,132
310.07,395,155
310.86,378,145
311.66,382,158
312.45,174,211
313.24,174,217
314.03,174,221
314.83,174,224
315.62,174,226
316.42,174,228
317.21,161,229
318.01,155,230
318.80,152,231
319.59,163,232
320.39,168,233
321.18,158,234
321.98,153,233
322.77,163,232
323.56,168,230
324.36,171,229
325.15,172,229
325.95,173,228
326.74,173,225
327.54,173,221
328.33,180,219
329.12,177,212
329.92,182,210
330.71,459,193
331.51,467,180
332.30,471,180
333.09,554,214
333.89,554,227
334.68,554,233
335.51,554,233
336.35,538,233
337.18,538,236
338.02,538,232
338.86,538,232
339.70,538,235
340.53,538,234
341.37,523,233
342.21,538,234
343.05,538,233
343.88,523,233
344.72,523,234
345.52,523,232
346.23,523,234
346.93,523,234
347.64,507,224
348.35,386,224
349.06,386,230
349.76,374,232
350.47,368,235
351.18,358,235
351.89,372,235
352.59,379,229
353.30,382,223
354.09,459,224
354.88,523,233
355.67,523,235
356.46,523,232
357.25,523,223
358.04,554,210
358.84,507,213
359.63,491,223
0.42,386,223
1.21,336,213
2.00,89,132
2.79,336,177
3.58,349,184
4.36,585,210
5.14,538,229
5.92,538,232
6.70,538,235
7.48,538,235
8.26,538,231
9.04,538,235
9.82,538,235
10.60,554,236
11.38,554,232
12.16,570,225
12.92,309,213
13.72,309,226
14.51,302,227
15.31,298,222
16.11,296,215
16.91,585,218
17.70,362,219
18.50,355,217
19.30,345,225
20.10,333,227
20.89,327,220
21.69,311,213
22.40,296,211
23.18,289,212
23.96,278,212
24.74,280,210
25.52,281,225
26.30,268,236
27.08,275,239
27.86,285,232
28.64,297,220
29.42,430,230
30.20,430,232
30.98,430,233
31.85,430,231
32.62,422,235
33.40,411,237
34.17,406,234
34.94,403,234
35.71,394,231
36.49,390,233
37.26,388,233
38.03,375,230
38.80,368,232
39.58,358,231
40.35,360,234
41.11,361,232
41.91,355,236
42.70,345,231
43.50,340,229
44.30,331,235
45.10,320,234
45.89,321,236
46.69,321,236
47.49,321,236
48.29,321,236
49.08,321,235
49.88,321,235
50.68,315,235
51.47,312,237
52.27,310,236
53.06,309,236
53.85,309,236
54.64,302,235
55.44,298,237
56.23,296,237
57.02,295,237
57.81,295,238
58.61,295,238
59.40,295,238
60.15,288,237
60.93,278,238
61.70,280,237
62.48,281,236
63.26,274,237
64.03,278,239
64.81,273,239
65.58,277,238
66.36,279,238
67.14,280,239
67.91,274,238
68.69,271,238
69.49,269,238
70.28,268,238
71.08,275,235
71.87,271,237
72.66,276,237
73.46,279,236
74.25,280,234
75.05,281,231
75.84,281,234
76.63,281,238
77.43,274,237
78.22,264,239
79.02,266,236
79.78,274,237
80.55,271,234
81.31,241,234
82.07,234,232
82.83,224,236
83.60,226,231
84.36,233,234
85.12,230,230
85.88,235,231
86.65,240,231
87.41,254,233
88.21,268,233
89.00,275,235
89.80,271,234
90.59,276,235
91.38,272,236
92.18,270,234
92.97,276,237
93.77,279,237
94.56,273,237
95.35,264,236
96.15,259,238
96.94,257,238
97.97,256,238
98.76,241,236
99.55,241,238
100.34,241,235
101.13,241,233
101.92,244,236
102.72,246,237
103.51,250,238
104.30,252,237
105.09,253,238
105.88,254,237
106.67,254,237
107.50,254,237
108.29,241,236
109.08,241,239
109.87,254,239
110.66,261,238
111.45,264,239
112.23,266,235
113.02,274,239
113.81,284,238
114.60,289,235
115.39,299,232
116.18,310,215
116.98,228,87
117.77,228,100
118.57,234,210
119.36,231,218
120.15,229,219
120.95,228,217
121.74,228,214
122.54,234,210
123.33,237,211
124.12,232,211
124.92,230,212
125.71,229,212
126.47,235,213
127.31,238,217
128.14,226,223
128.98,220,224
129.81,224,215
130.65,226,216
131.48,233,233
132.32,230,232
133.15,235,220
133.99,238,215
134.82,260,211
135.66,264,193
136.45,259,184
137.27,263,184
138.09,259,171
138.91,263,135
139.73,265,187
140.55,273,119
141.36,270,171
142.18,276,148
143.00,292,145
143.82,300,161
144.64,291,132
145.46,300,71
146.26,89,58
147.05,295,87
147.85,295,164
148.64,295,184
149.43,295,177
150.23,295,129
151.02,288,168
151.82,298,151
152.61,303,138
153.40,306,145
154.20,321,151
154.99,328,174
155.82,601,219
156.63,585,229
157.44,362,217
158.25,349,222
159.06,342,224
159.87,339,230
160.67,330,232
161.48,326,235
162.29,317,236
163.10,313,234
163.91,311,235
164.72,310,240
165.55,316,234
166.35,326,233
167.16,331,235
167.96,340,228
168.76,351,215
169.56,1489,226
170.37,1489,228
171.17,1505,217
171.97,6321,211
172.77,1505,214
173.58,174,218
174.38,161,230
175.14,155,235
175.94,144,238
176.73,124,236
177.53,121,240
178.33,120,240
179.13,112,241
179.92,100,239
180.72,87,235
181.52,80,233
182.32,77,237
183.11,90,241
183.91,104,236
184.70,119,237
185.52,119,244
186.34,111,243
187.16,107,243
187.98,113,242
188.80,101,241
189.61,102,244
190.43,103,242
191.25,111,243
192.07,107,246
192.89,105,244
193.71,112,244
194.50,115,244
195.30,117,246
196.11,125,243
196.91,137,235
197.71,155,235
198.51,152,236
199.32,163,236
200.12,168,238
200.92,178,237
201.72,176,241
202.53,182,240
203.33,185,239
204.13,186,228
204.93,200,222
205.72,207,219
206.52,459,225
207.32,459,230
208.12,459,232
208.91,467,233
209.71,463,233
210.51,469,230
211.31,464,231
212.10,470,229
212.90,473,231
213.69,482,228
214.46,507,229
215.24,499,228
216.01,507,231
216.78,507,231
217.55,523,230
218.33,507,232
219.10,507,234
219.87,507,233
220.64,507,232
221.42,507,233
222.19,499,232
222.99,507,234
223.78,523,232
224.58,523,229
225.37,523,232
226.16,523,233
226.96,538,233
227.75,538,236
228.55,554,234
229.34,554,235
230.13,570,234
230.93,554,233
231.72,570,231
232.40,554,235
233.19,570,235
233.98,570,233
234.77,570,233
235.56,585,232
236.35,585,232
237.14,585,236
237.93,601,235
238.72,616,233
239.51,601,231
240.30,601,238
241.09,601,233
241.85,616,233
242.64,616,234
243.43,632,238
244.22,647,233
245.01,632,237
245.80,647,237
246.58,647,238
247.37,663,237
248.16,663,237
248.95,647,235
249.74,647,235
250.53,647,239
251.36,647,237
252.15,647,237
252.94,647,236
253.73,647,238
254.52,647,237
255.31,647,236
256.11,647,237
256.90,647,232
257.69,632,235
258.48,647,236
259.27,647,236
260.06,632,236
260.86,616,229
261.64,601,226
262.42,585,225
263.20,570,227
263.98,554,229
264.76,538,230
265.53,538,228
266.31,523,233
267.09,523,230
267.87,507,229
268.65,499,231
269.43,495,231
270.19,485,232
271.02,472,234
271.85,465,234
272.68,455,232
273.51,442,232
274.34,428,235
275.16,421,235
275.99,418,235
276.82,416,234
277.65,408,234
278.48,404,236
279.31,395,233
280.14,390,233
280.93,395,235
281.72,398,232
282.51,392,235
283.30,396,233
284.09,398,235
284.89,399,235
285.68,400,236
286.47,400,235
287.26,407,236
288.05,411,235
288.84,406,233
289.59,396,234
290.42,391,234
291.24,388,237
292.07,394,238
292.89,397,234
293.72,406,224
294.54,819,219
295.37,819,223
296.19,835,225
297.02,850,225
297.84,850,229
298.67,850,230
299.43,881,234
300.21,850,235
300.98,788,230
301.76,772,228
302.54,523,212
303.31,772,211
304.09,772,213
304.86,757,212
305.64,757,187
306.42,445,193
307.19,445,197
307.97,445,161
308.77,386,203
309.56,374,145
310.36,380,210
311.15,397,148
311.94,188,203
312.74,181,214
313.53,165,218
314.33,157,222
315.12,153,225
315.91,163,227
316.71,168,229
317.50,171,231
318.29,172,232
319.08,173,232
319.88,173,232
320.67,173,231
321.47,161,232
322.26,167,231
323.06,170,232
323.85,172,232
324.65,173,229
325.44,173,229
326.24,173,228
327.03,173,226
327.79,173,221
328.59,180,217
329.39,184,210
330.19,459,158
330.99,475,184
331.79,483,184
332.59,479,203
333.39,554,227
334.19,539,229
334.99,539,233
335.79,554,233
336.59,539,232
337.47,539,233
338.26,539,234
339.05,539,236
339.84,539,233
340.63,539,234
341.42,523,233
342.20,523,232
342.99,523,233
343.78,523,235
344.57,523,232
345.36,523,233
346.15,523,234
346.98,523,230
347.74,523,225
348.49,386,226
349.25,374,231
350.01,368,235
350.77,358,235
351.52,360,234
352.28,361,232
353.04,373,227
353.80,368,219
354.55,507,230
355.31,523,232
356.11,523,233
356.90,523,230
357.69,554,217
358.49,309,212
359.28,445,218
0.07,423,220
0.86,404,220
1.65,395,203
2.44,44,145
3.24,336,174
4.03,342,171
4.82,554,218
5.61,539,230
6.37,539,233
7.14,539,233
7.90,539,235
8.67,539,235
9.43,554,234
10.20,554,238
10.96,554,236
11.73,554,231
12.49,570,213
13.26,309,221
14.02,302,230
14.82,298,225
15.62,296,216
16.43,585,216
17.23,363,217
18.03,356,215
18.84,352,219
19.64,337,229
20.45,329,221
21.25,325,214
22.05,303,210
22.86,299,210
23.66,290,211
24.41,279,210
25.21,280,215
26.01,274,237
26.81,278,240
27.61,286,234
28.41,290,228
29.20,415,228
30.00,422,232
30.80,426,235
31.60,428,231
32.40,421,233
33.20,418,233
33.96,409,233
34.73,405,235
35.51,403,236
36.28,394,231
37.05,390,232
37.83,376,232
38.60,369,234
39.38,366,233
40.15,364,234
40.92,356,230
41.70,352,233
42.47,344,230
43.34,340,229
44.13,331,233
44.92,326,237
45.71,331,234
46.50,320,235
47.29,321,234
48.07,321,235
48.86,321,235
49.65,321,236
50.44,315,237
51.23,312,236
52.02,310,236
52.65,309,235
53.45,309,235
54.24,309,237
55.04,302,238
55.83,298,240
56.63,296,237
57.42,295,238
58.22,288,235
59.01,285,240
59.81,283,236
60.60,275,237
61.40,271,240
62.12,276,236
62.93,279,239
63.73,280,239
64.54,281,239
65.35,281,238
66.16,274,236
66.96,278,237
67.77,280,235
68.58,281,238
69.39,281,237
70.19,281,235
71.00,281,238
71.79,281,237
72.58,274,239
73.37,278,238
74.16,280,237
74.95,281,229
75.74,281,234
76.52,274,235
77.31,278,237
78.10,273,237
78.89,277,235
79.68,266,236
80.47,260,236
81.30,242,232
82.09,235,233
82.88,225,235
83.67,226,230
84.46,234,232
85.25,231,234
86.05,237,232
86.84,239,234
87.63,260,229
88.42,264,230
89.21,273,232
90.00,277,237
90.79,279,237
91.56,280,235
92.34,267,237
93.11,274,239
93.88,271,236
94.66,269,238
95.43,268,237
96.21,261,239
96.98,258,238
97.75,256,237
98.53,255,237
99.30,242,236
100.17,235,234
100.96,238,235
101.75,240,237
102.54,243,237
103.33,246,237
104.12,250,237
104.90,252,241
105.69,253,237
106.48,242,238
107.27,245,238
108.06,256,237
108.85,242,239
109.64,245,239
110.43,256,239
111.22,262,237
112.01,265,235
112.80,273,236
113.59,284,239
114.39,289,233
115.18,305,233
115.97,307,219
116.76,255,106
117.55,275,142
118.34,228,148
119.13,235,214
119.97,231,218
120.80,229,217
121.64,235,212
122.48,231,212
123.31,236,210
124.15,232,210
124.98,230,212
125.82,236,211
126.66,232,211
127.49,237,213
128.33,232,218
129.09,223,227
129.88,219,217
130.67,217,214
131.46,222,227
132.25,225,233
133.04,233,229
133.82,238,219
134.61,240,213
135.40,254,171
136.19,254,190
136.98,254,184
137.77,268,187
138.63,268,151
139.40,268,164
140.17,261,158
140.94,258,180
141.71,256,190
142.48,262,177
143.26,265,174
144.03,266,158
144.80,267,142
145.57,288,61
146.34,89,71
147.11,282,100
147.94,288,148
148.74,285,171
149.53,336,161
150.33,315,184
151.12,312,129
151.92,310,177
152.71,302,151
153.51,305,135
154.30,320,164
155.10,314,135
155.89,601,219
156.69,585,229
157.43,585,216
158.22,336,224
159.02,336,225
159.81,336,230
160.60,329,231
161.39,325,235
162.19,317,237
162.98,313,233
163.77,311,232
164.56,310,236
165.36,309,233
166.15,322,235
166.94,329,231
167.74,332,231
168.55,340,217
169.35,1489,225
170.15,1489,229
170.96,1505,220
171.76,188,211
172.57,168,219
173.37,158,231
174.17,153,235
174.98,151,238
175.78,135,237
176.54,127,238
177.34,138,241
178.13,143,237
178.93,158,237
179.72,166,239
180.52,170,242
181.31,172,236
182.11,173,238
182.90,180,240
183.70,190,233
184.49,189,237
185.29,181,234
186.08,150,244
186.87,134,243
187.67,126,244
188.46,115,241
189.26,109,240
190.05,114,240
190.85,109,242
191.64,106,244
192.44,112,242
193.23,115,242
194.03,124,235
194.82,129,236
195.61,139,238
196.39,156,239
197.18,165,240
197.96,176,238
198.74,175,239
199.53,174,236
200.31,174,239
201.10,181,239
201.88,184,240
202.66,179,240
203.45,183,238
204.23,185,224
205.06,193,219
205.85,459,219
206.65,459,226
207.44,467,232
208.23,471,231
209.02,473,231
209.82,474,233
210.61,475,233
211.40,475,230
212.19,483,231
