Angle_deg,Distance_mm,Intensity
167.16,3053,230
167.93,3084,228
168.71,3100,229
169.48,3115,228
170.25,3131,228
171.03,3146,230
171.80,3162,230
172.58,3115,225
173.35,3006,220
174.12,2913,220
174.90,2897,222
175.67,2913,224
185.97,2585,228
186.76,2539,214
187.56,3162,214
188.35,2679,168
189.15,3240,211
189.94,3209,216
190.74,3209,211
191.53,3193,217
192.33,2367,206
193.12,3162,217
193.92,3146,218
194.71,3146,219
205.31,3053,217
206.10,3037,218
206.89,3022,217
207.68,3037,218
208.47,3053,217
209.26,3037,217
210.04,3022,218
210.83,3053,217
211.62,3022,217
212.41,2991,210
213.20,3068,210
213.99,2367,213
224.13,3146,223
224.92,3162,213
225.71,3053,210
226.50,2102,215
227.29,3115,211
228.08,3240,216
228.88,2507,211
229.67,2507,210
230.46,2913,216
231.25,2772,217
232.04,2336,217
232.83,2258,217
243.13,1900,226
243.92,1931,210
244.71,1946,222
245.50,1962,231
246.29,1977,230
247.08,2009,221
247.88,3536,217
248.67,3614,220
249.46,3536,214
250.25,3474,210
251.04,3458,206
251.83,3552,216
262.13,1775,228
262.91,1900,223
263.68,1868,231
264.46,1884,224
265.24,1853,222
266.02,1853,227
266.79,1853,232
267.57,1619,219
268.35,1619,221
269.13,1619,216
269.90,1790,216
270.68,1697,215
281.11,2149,232
281.91,2149,232
282.70,2149,233
283.50,2149,233
284.29,2149,234
285.09,2149,232
285.88,2149,234
286.68,2164,234
287.47,2164,232
288.27,2164,232
289.06,2164,232
289.86,2164,232
300.61,1354,215
301.43,2881,219
302.24,2991,222
303.06,3053,225
303.88,3084,225
304.69,3131,226
305.51,3162,226
306.32,3178,226
307.14,3193,220
307.96,4471,220
308.77,4502,222
309.59,4518,223
319.89,2850,219
320.69,3676,226
321.48,3707,225
322.28,3754,225
323.08,3801,226
323.87,3832,222
324.67,3895,225
325.46,3941,227
326.26,3988,226
327.06,4035,227
327.85,1681,221
328.65,1666,219
339.34,2134,228
340.13,2118,228
340.93,1947,221
341.72,1947,222
342.52,1978,222
343.31,2056,233
344.11,2025,232
344.90,2009,231
345.70,2009,231
346.49,1993,230
347.29,1978,231
348.08,1962,231
357.92,1837,233
358.71,1822,232
359.50,1806,231
0.29,1806,231
1.08,1791,230
1.87,1806,230
2.67,1760,226
3.46,1760,223
4.25,1728,226
5.04,1728,229
5.83,1728,235
6.62,1728,235
16.75,1245,222
17.53,1230,216
18.31,1230,217
19.09,1230,219
19.87,1230,217
20.65,1261,217
21.42,1261,218
22.20,1401,220
22.98,1417,221
23.76,1417,222
24.54,1417,222
25.32,1417,222
35.61,2835,225
36.41,2851,225
37.22,2866,224
38.02,2897,226
38.82,2913,225
39.62,2928,223
40.43,2944,223
41.23,2991,217
42.03,2975,214
42.83,3006,113
43.64,3022,90
44.44,3053,77
54.42,3505,219
55.21,3552,218
56.01,3583,229
56.80,3536,224
57.60,3489,225
58.39,3427,222
59.19,3396,223
59.98,3333,224
60.78,3302,226
61.57,3255,226
62.37,3224,226
63.16,3178,226
73.57,1822,221
74.37,1837,224
75.16,1900,224
75.96,1946,225
76.76,1993,223
77.56,2040,224
78.35,2087,224
79.15,2149,223
79.95,2211,221
80.75,2274,222
81.54,2351,220
82.34,2429,219
91.86,2305,223
92.66,2336,220
93.46,2476,218
94.27,2492,220
95.07,2507,220
95.87,2539,219
96.67,2570,215
97.47,2601,216
98.27,2616,218
99.08,2648,211
99.88,109,126
100.68,164,180
111.01,219,187
111.80,1120,214
112.60,1120,232
113.39,1136,231
114.18,1136,223
114.97,1136,223
115.77,2196,228
116.56,2258,223
117.35,2336,223
118.14,2398,211
118.94,2274,211
119.73,2523,210
129.96,2679,228
130.75,2679,221
131.55,2211,228
132.34,2616,214
133.14,2944,217
133.93,2928,231
134.73,2913,230
135.52,2913,233
136.32,1603,224
137.11,1603,222
137.91,2897,230
138.70,1307,220
149.62,2866,223
150.40,1790,220
151.19,1837,151
151.97,1837,210
152.75,1868,177
153.53,1931,210
154.32,2897,211
155.10,1806,230
155.88,2897,226
156.66,2913,230
157.45,2913,231
158.23,2897,217
168.55,3084,227
169.34,3115,229
170.14,3115,227
170.93,3146,228
171.72,3162,229
172.51,3131,229
173.31,3006,219
174.10,2928,221
174.89,2897,223
175.68,2913,223
176.48,2944,217
177.27,2959,220
187.58,3162,213
188.37,2694,158
189.16,3224,193
189.95,3209,216
190.74,3209,212
191.53,3178,216
192.33,2367,210
193.12,3162,220
193.91,3146,219
194.70,3146,219
195.49,3115,219
196.28,3115,218
206.55,3022,217
207.34,3006,218
208.14,3037,218
208.93,3006,218
209.73,3022,218
210.52,3006,217
211.32,3006,218
212.11,3053,213
212.91,3053,211
213.70,2398,213
214.50,2398,231
215.29,2398,216
23.67,3285,12
31.83,7387,12
40.00,7389,12
113.48,8096,185
235.03,2055,225
235.82,2009,218
236.62,1806,212
237.41,1790,216
238.21,1806,214
239.00,1884,236
239.80,1853,229
240.59,1853,230
241.39,1868,230
242.18,1900,218
242.98,1900,225
243.77,1915,212
254.04,3817,218
254.83,3832,218
255.62,3957,225
256.41,3972,218
257.20,3941,218
257.99,3910,216
258.77,1946,227
259.56,1946,219
260.35,1775,226
261.14,1759,234
261.93,1775,230
262.72,1884,219
273.05,1323,220
273.87,1323,220
274.69,1572,225
275.50,1588,232
276.32,1853,221
277.14,1853,228
277.96,1868,228
278.78,1868,223
279.60,1868,223
280.41,1853,215
281.23,2149,233
282.05,2149,232
292.79,1868,221
293.59,1868,218
294.39,2196,220
295.18,2211,232
295.98,2164,221
296.78,2102,230
297.58,2102,230
298.38,1354,212
299.18,1338,221
299.97,1338,222
300.77,1354,216
301.57,2881,220
311.69,4627,219
312.48,4658,213
313.27,4300,222
314.06,4300,222
314.85,4315,221
315.64,4347,221
316.44,4393,222
317.23,4424,212
318.02,3614,164
318.81,2850,215
319.60,2850,221
320.39,3676,226
330.72,1541,225
331.54,1541,223
332.37,1572,214
333.19,1806,213
334.01,1837,213
334.83,1915,210
335.66,1946,219
336.48,1977,220
337.30,2009,216
338.12,2149,223
338.95,2149,227
339.77,2118,230
350.07,1931,232
350.82,1479,223
351.57,1479,227
352.33,1479,224
353.08,1510,215
353.83,1619,220
354.58,1619,224
355.33,1853,226
356.08,1806,227
356.84,1837,231
357.59,1837,234
358.34,1822,232
8.51,1712,232
9.30,1089,222
10.09,1089,227
10.88,1105,220
11.67,1120,217
12.46,1650,226
13.24,1697,233
14.03,1697,236
14.82,1260,215
15.61,1276,215
16.40,1245,223
17.19,1229,215
27.62,1416,223
28.41,1416,220
29.20,1463,229
