Angle_deg,Distance_mm,Intensity
75.29,280,230
76.06,280,236
76.84,280,237
77.61,267,239
78.38,267,238
79.16,267,238
79.93,260,236
80.71,257,236
81.48,255,233
82.25,214,231
83.03,214,234
83.80,220,231
84.63,223,234
85.42,232,230
86.22,237,234
87.01,252,232
87.80,253,232
88.60,267,233
89.39,274,230
90.19,270,236
90.98,275,235
91.77,278,235
92.57,266,235
93.36,266,239
94.11,266,235
94.92,266,238
95.73,266,240
96.54,260,240
97.35,257,239
98.16,255,237
98.97,241,236
99.78,234,235
100.59,230,236
101.40,236,236
102.21,238,235
103.02,242,238
103.78,245,237
104.58,247,237
105.39,244,236
106.19,246,239
106.99,250,237
107.79,241,236
108.60,244,238
109.40,246,238
110.20,256,240
111.00,255,239
111.81,261,237
112.61,264,238
113.40,272,238
114.19,283,240
114.99,288,234
115.78,298,230
116.57,316,200
117.37,227,90
118.16,234,132
118.96,250,210
119.75,227,218
120.54,227,220
121.34,227,215
122.13,227,214
122.92,227,213
123.72,234,210
124.51,237,212
125.31,232,212
126.11,236,211
126.91,251,211
127.70,241,216
128.50,234,225
129.30,224,224
130.10,225,215
130.89,233,219
131.69,237,231
132.44,232,235
133.23,236,224
134.03,251,215
134.82,252,212
135.61,259,164
136.41,241,148
137.20,244,158
138.00,255,126
138.79,261,155
139.58,264,168
140.38,259,161
141.17,263,210
141.96,278,138
142.76,272,132
143.57,269,177
144.37,281,161
145.17,214,71
145.98,173,48
146.78,294,67
147.59,287,135
148.39,290,164
149.19,292,164
150.00,293,158
150.80,293,168
151.55,287,138
152.37,297,164
153.20,302,171
154.02,305,148
154.84,320,151
155.66,600,211
156.49,584,228
157.31,584,223
158.13,335,221
158.95,335,221
159.78,335,229
160.60,335,232
161.36,328,232
162.15,324,233
162.95,322,234
163.74,315,234
164.53,311,234
165.33,316,233
166.12,318,233
166.92,326,233
167.71,330,234
168.50,346,218
169.30,1488,220
170.09,1488,229
170.92,1488,224
171.71,148,215
172.50,140,221
173.29,136,231
174.08,134,239
174.87,118,239
175.66,103,236
176.45,95,240
177.24,99,243
178.03,101,243
178.82,102,239
179.61,80,237
180.40,76,234
181.21,74,235
182.01,73,233
182.82,88,240
183.63,95,242
184.43,106,242
185.24,112,246
186.04,107,244
186.85,112,245
187.66,107,244
188.46,112,245
189.27,107,246
190.03,112,244
190.82,107,246
191.62,105,242
192.41,104,242
193.20,111,245
193.99,114,242
194.79,108,243
195.58,90,238
196.37,74,234
197.16,66,235
197.96,84,240
198.75,93,244
199.55,113,237
200.33,115,238
201.10,116,242
201.88,124,241
202.66,128,239
203.43,150,240
204.21,149,240
204.98,161,241
205.76,174,233
206.54,187,227
207.31,167,218
208.09,475,226
208.89,475,229
209.68,475,230
210.47,475,233
211.26,475,231
212.05,475,230
212.84,483,230
213.63,487,229
214.42,489,231
215.21,506,232
216.00,506,231
216.79,522,232
217.58,522,235
218.37,522,233
219.16,506,233
219.96,506,231
220.75,506,233
221.54,506,234
222.34,506,234
223.13,506,233
223.93,506,233
224.72,506,233
225.51,522,232
226.31,522,233
227.10,522,230
227.92,522,230
228.69,537,231
229.47,553,235
230.24,553,233
231.01,553,233
231.79,553,234
232.56,568,233
233.34,568,237
234.11,553,235
234.88,553,234
235.66,568,234
236.43,584,232
237.23,600,237
238.02,615,237
238.82,615,234
239.61,615,236
240.40,615,235
241.19,631,236
241.99,615,235
242.78,615,238
243.57,615,238
244.36,615,233
245.16,615,234
245.95,631,234
246.75,646,233
247.55,631,235
248.36,646,236
249.16,631,235
249.96,631,237
250.76,631,233
251.57,631,236
252.37,646,239
253.17,646,238
253.97,631,234
254.78,631,236
255.58,631,236
256.37,631,237
257.13,631,235
257.89,631,235
258.65,631,235
259.41,631,236
260.17,615,236
260.94,600,226
261.70,568,224
262.46,553,228
263.22,537,230
263.98,537,228
264.74,522,232
265.53,506,229
266.32,506,230
267.12,506,231
267.91,490,229
268.70,482,229
269.50,478,235
270.29,476,235
271.09,467,234
271.88,455,234
272.67,442,232
273.47,428,237
274.26,413,234
275.02,406,234
275.88,402,234
276.73,400,234
277.59,399,233
278.44,380,231
279.30,382,235
280.15,383,234
281.01,391,233
281.86,395,234
282.72,397,233
283.57,398,236
284.43,398,232
285.18,398,233
286.00,398,236
286.81,398,235
287.63,398,235
288.45,413,236
289.26,406,237
290.08,402,235
290.89,400,234
291.71,392,234
292.53,388,234
293.34,393,237
294.16,403,226
294.99,818,219
295.78,818,223
296.57,833,225
297.36,849,226
298.15,849,228
298.94,865,229
299.73,880,236
300.52,849,236
301.31,755,233
302.10,771,218
302.89,506,210
303.68,771,212
304.48,771,214
305.26,771,213
306.03,444,161
306.81,436,200
307.59,417,184
308.36,415,148
309.14,407,168
309.91,396,187
310.69,397,197
311.47,398,138
312.24,148,211
313.02,160,216
313.81,166,222
314.60,169,226
315.40,171,227
316.19,172,229
316.98,172,232
317.78,172,229
318.57,172,234
319.37,160,232
320.16,154,232
320.95,151,231
321.75,162,233
322.54,167,231
323.33,170,231
324.12,171,232
324.92,172,229
325.71,172,228
326.50,172,226
327.30,172,220
328.09,179,218
328.89,176,211
329.68,147,177
330.47,491,210
331.27,474,168
332.06,474,197
332.85,553,221
333.70,537,230
334.54,537,232
335.39,537,233
336.23,537,234
337.08,537,233
337.92,537,234
338.77,537,232
339.61,537,235
340.46,537,233
341.30,537,234
342.15,522,231
342.91,537,230
343.70,522,235
344.50,522,235
345.29,522,232
346.08,522,233
346.87,522,233
347.67,506,223
348.46,385,224
349.25,385,229
350.04,373,233
350.84,367,237
351.63,364,234
352.40,374,233
353.16,379,225
353.93,458,221
354.69,466,231
355.45,506,235
356.21,522,234
356.98,522,228
357.74,553,217
358.50,522,180
359.26,506,216
0.03,429,225
0.79,407,222
1.59,348,158
2.38,399,135
3.18,335,203
3.97,335,155
4.76,537,221
5.56,537,231
6.35,537,230
7.15,537,235
7.94,537,234
8.73,553,232
9.53,537,234
10.32,553,236
11.11,553,233
11.90,553,232
12.69,568,214
13.48,308,220
14.27,301,229
15.06,297,225
15.85,309,217
16.64,584,218
17.43,348,218
18.22,348,219
19.01,341,219
19.80,331,232
20.63,326,221
21.40,310,214
22.18,302,210
22.95,291,211
23.72,286,213
24.50,283,210
25.27,288,219
26.05,277,238
26.82,272,239
27.59,283,233
28.37,288,224
29.14,414,228
29.97,429,230
30.75,429,234
31.52,429,234
32.30,421,237
33.08,417,235
33.85,408,233
34.63,403,233
35.40,401,234
36.18,393,233
36.96,389,235
37.73,375,232
38.51,368,232
39.31,365,235
40.10,363,233
40.90,362,234
41.69,355,235
42.48,345,232
43.27,340,230
44.07,337,233
44.86,336,234
45.65,335,240
46.44,328,233
47.24,331,236
48.03,326,236
48.82,323,232
49.59,315,236
50.37,318,234
51.14,313,237
51.91,310,233
52.69,309,239
53.46,308,236
54.24,308,236
55.01,301,236
55.78,297,236
56.56,295,237
57.33,294,237
58.20,294,238
58.99,294,238
59.77,287,236
60.56,277,234
61.35,279,239
62.13,286,235
62.92,283,236
63.70,282,238
64.49,281,237
65.28,281,239
66.06,274,237
66.85,277,238
67.79,279,238
68.58,280,238
69.38,280,237
70.17,280,237
70.96,280,237
71.76,273,236
72.55,270,237
73.35,275,236
74.14,278,232
74.93,279,230
75.73,280,234
76.52,280,234
77.31,280,238
78.09,273,239
78.86,270,236
79.64,262,235
80.42,264,236
81.20,265,234
81.97,227,231
82.75,220,234
83.53,223,229
84.31,234,233
85.08,237,230
85.86,241,232
86.65,241,233
87.44,261,232
88.23,271,233
89.02,276,235
89.81,278,236
90.60,279,237
91.39,273,234
92.18,277,235
92.97,279,236
93.76,273,237
94.55,277,237
95.34,272,238
96.17,263,239
96.96,258,239
97.76,256,237
98.55,241,235
99.34,244,234
100.13,242,234
100.93,234,235
101.72,237,236
102.51,241,236
103.30,254,238
104.10,254,238
104.89,254,239
105.65,254,235
106.45,254,237
107.26,260,235
108.06,241,238
108.86,254,238
109.67,260,238
110.47,263,236
111.28,265,240
112.08,266,237
112.88,273,238
113.69,290,238
114.49,299,234
115.28,303,234
116.07,319,221
116.87,327,96
117.66,241,96
118.45,294,187
119.24,241,215
120.04,241,220
120.83,227,218
121.62,227,214
122.41,227,213
123.21,227,212
124.00,233,210
124.76,237,212
125.55,239,211
126.35,240,213
127.14,233,212
127.93,230,220
128.73,222,227
129.52,218,217
130.32,229,215
131.11,235,226
131.90,231,235
132.70,236,228
133.49,238,220
134.28,242,214
135.07,245,210
135.87,263,168
136.66,265,180
137.45,259,168
138.25,263,151
139.04,265,132
139.84,266,151
140.63,273,177
141.42,277,210
142.22,272,168
143.01,276,210
143.76,285,164
144.55,290,129
145.34,348,58
146.13,227,38
146.92,281,103
147.71,288,142
148.50,284,145
149.29,282,132
150.08,281,155
150.87,294,129
151.66,301,180
152.45,304,138
153.28,306,155
154.08,327,168
154.89,331,171
155.69,584,218
156.49,584,230
157.30,584,218
158.10,321,221
158.91,328,225
159.71,331,231
160.51,326,232
161.32,323,233
162.12,315,235
162.87,318,232
163.67,313,234
164.46,310,233
165.26,315,236
166.06,325,232
166.85,330,231
167.65,332,232
168.44,340,218
169.24,1488,220
170.04,1488,229
170.83,1504,222
171.63,174,215
172.40,161,226
173.18,147,235
173.97,140,242
174.75,121,239
175.53,104,238
176.31,103,238
177.10,110,240
177.88,114,240
178.66,108,240
179.44,90,236
180.23,74,234
181.01,66,234
181.84,69,237
182.64,86,241
183.44,102,241
184.24,110,241
185.04,114,244
185.84,108,244
186.64,105,244
187.44,111,245
188.24,114,244
189.04,108,246
189.84,113,242
190.64,115,245
191.43,116,243
192.22,109,244
193.02,106,242
193.81,112,243
194.60,107,241
195.40,90,236
196.19,81,237
196.99,77,235
197.78,82,240
198.57,92,244
199.37,105,240
200.16,111,238
200.95,122,241
201.75,127,239
202.56,130,239
203.36,139,238
204.16,156,241
204.97,144,239
205.77,159,232
206.58,166,226
207.38,459,217
208.18,459,226
208.99,467,229
209.79,471,231
210.58,473,232
211.37,482,228
212.16,486,230
212.95,488,229
213.74,489,230
214.53,490,232
215.32,506,231
216.11,506,231
216.90,522,232
217.69,522,234
218.48,522,233
219.27,506,230
220.06,506,233
