Angle_deg,Distance_mm,Intensity
216.86,2040,222
217.68,2040,221
218.50,2056,223
219.32,2056,221
220.14,2071,223
220.96,2071,224
221.77,2087,223
222.59,2102,224
223.41,2102,223
224.23,2118,226
225.05,2134,228
225.87,3926,217
226.70,3942,218
227.47,5235,213
228.25,5266,220
229.02,5298,222
229.79,5344,221
230.57,5391,218
231.34,5048,197
232.12,3661,214
232.89,3770,214
233.66,3910,213
234.44,4035,211
235.21,4160,211
236.00,4269,212
236.80,4362,216
237.59,4409,219
238.39,4456,220
239.19,4518,221
239.99,4549,221
240.78,4596,220
241.58,4659,218
242.38,2352,226
243.18,2321,228
243.97,2258,225
244.77,2243,227
245.52,2227,234
246.29,2180,225
247.07,2165,230
247.84,2196,232
248.61,2212,233
249.39,2227,230
250.16,2664,224
250.94,1993,221
251.71,1978,226
252.48,1962,224
253.26,1947,221
254.03,1915,223
254.83,1884,221
255.65,1853,217
256.47,1853,221
257.29,1869,220
258.11,1915,220
258.93,1900,217
259.74,1822,223
260.56,1791,218
261.38,1775,219
262.20,1791,216
263.02,2399,212
263.84,1744,214
264.63,1744,217
265.43,1728,216
266.22,1713,216
267.02,1713,216
267.82,1713,216
268.62,1588,193
269.41,1619,211
270.21,1666,211
271.01,1744,214
271.81,1666,211
272.60,1635,164
273.40,1635,135
274.15,1666,210
274.95,1775,212
275.76,1760,212
276.56,1744,216
277.36,1760,215
278.17,1760,215
278.97,1884,216
279.78,1869,218
280.58,1853,224
281.38,1837,226
282.19,1822,222
282.99,1822,223
283.82,1806,220
284.64,1791,220
285.45,1775,219
286.27,1775,217
287.08,1775,212
287.90,1822,215
288.71,1853,211
289.53,1884,212
290.34,2258,221
291.16,2243,227
291.97,2243,219
292.79,2243,222
293.59,2258,224
294.38,2274,225
295.18,2352,213
295.97,3022,212
296.76,3022,216
297.55,3007,218
298.35,3022,224
299.14,3022,225
299.93,3038,226
300.72,3038,226
301.52,3038,225
302.31,3053,226
303.11,3069,225
303.89,3069,227
304.67,3069,228
305.45,3069,229
306.23,3100,225
307.01,3085,217
307.79,3100,214
308.57,3100,213
309.35,3162,211
310.13,3147,210
310.91,3147,211
311.69,3178,210
312.48,3209,184
313.27,3209,197
314.06,3209,187
314.85,3256,210
315.64,3287,222
316.43,3381,217
317.22,3381,219
318.01,3412,219
318.80,3459,217
319.59,3412,212
320.38,3583,217
321.17,3537,225
322.00,3568,226
322.79,3443,225
323.58,3365,226
324.37,3287,225
325.16,3194,227
325.95,1775,230
326.75,1775,231
327.54,1791,234
328.33,1791,232
329.12,1806,233
329.91,1806,231
330.70,1822,230
331.49,1822,230
332.35,1838,230
333.21,1853,230
334.06,1869,229
334.92,1869,228
335.78,1884,229
336.64,1900,229
337.50,1916,227
338.36,1931,227
339.21,1947,228
340.07,1962,230
340.93,1978,231
341.69,1993,228
342.48,2009,229
343.28,2025,228
344.07,2040,228
344.86,2071,230
345.66,2087,231
346.45,2103,231
347.25,2134,230
348.04,2149,230
348.83,2134,231
349.63,2103,224
350.42,1947,229
351.25,1931,229
351.95,1931,233
