Angle_deg,Distance_mm,Intensity
124.22,287,242
125.03,278,239
125.83,274,237
126.64,272,239
127.45,271,238
128.25,277,240
129.06,280,240
129.86,288,225
130.67,556,225
131.48,540,236
132.28,556,237
133.09,572,230
143.51,494,214
144.30,494,217
145.10,486,217
145.89,482,220
146.68,480,223
147.48,479,224
148.27,478,223
149.07,478,225
149.86,478,225
150.65,478,226
151.45,478,228
152.24,478,228
162.80,470,222
163.59,482,211
164.39,509,122
165.18,634,210
165.97,603,177
166.77,461,211
167.56,461,215
168.36,461,212
169.15,525,129
169.94,587,148
170.74,556,214
171.53,587,213
181.70,525,213
182.52,525,211
183.33,509,210
184.15,509,211
184.97,509,211
185.78,509,211
186.60,509,211
187.41,501,212
188.23,497,211
189.05,495,214
189.86,494,212
190.68,540,177
267.67,11348,21
228.23,5855,138
208.51,6105,77
188.79,6198,100
169.07,6370,213
149.36,6338,211
129.64,6136,214
109.92,6073,215
90.20,5996,216
70.48,5980,210
50.76,5419,213
210.65,5216,210
211.42,5419,210
212.20,5403,216
212.97,5169,217
213.74,5107,218
214.52,5201,214
215.29,5076,211
216.07,4780,213
216.84,5216,216
217.61,5263,145
218.39,7336,148
219.16,7274,180
215.96,5420,14
239.10,3424,103
239.86,3237,35
240.63,3065,93
241.39,3050,138
242.15,2878,93
242.92,2535,109
243.68,2504,211
244.45,2395,211
245.21,2411,214
245.97,2395,212
246.74,2224,217
247.50,2629,219
257.81,712,231
258.62,727,231
259.42,743,226
260.23,759,223
261.04,759,226
261.84,805,216
262.65,1756,226
263.45,1725,227
264.26,1709,225
265.07,1678,226
265.87,1647,226
266.68,1631,228
277.43,1398,229
278.22,1382,233
279.01,1382,220
279.80,1055,217
280.59,1351,232
281.38,1335,234
282.17,1335,232
282.96,1304,235
283.75,1304,226
284.54,1289,235
285.33,1289,234
286.12,1289,223
296.54,1195,234
297.33,1242,217
298.12,388,228
298.91,380,232
299.70,376,237
300.49,374,236
301.28,373,234
302.07,373,236
302.86,373,234
303.65,373,237
304.44,373,234
305.23,380,230
315.69,399,227
316.48,400,227
317.28,401,227
318.07,409,227
318.86,413,226
319.65,415,226
320.45,416,225
321.24,416,227
322.03,416,226
322.82,416,224
323.62,424,227
324.41,428,226
334.72,488,216
335.55,483,119
336.38,509,180
337.21,509,217
338.04,525,214
338.87,373,193
339.70,373,203
340.53,373,210
341.36,362,187
342.19,356,184
343.02,364,193
343.85,368,174
353.84,310,210
354.63,587,212
355.43,587,220
356.22,571,228
357.01,571,231
357.80,571,228
358.60,556,231
359.39,556,226
0.18,556,221
0.97,556,213
1.77,556,210
2.56,310,187
12.59,501,235
13.38,497,235
14.17,495,235
14.96,494,232
15.75,493,236
16.54,493,235
17.32,493,235
18.11,493,234
18.90,493,236
19.69,493,236
20.48,493,234
21.27,485,237
31.55,485,232
32.31,489,233
33.08,491,231
33.84,492,231
34.60,492,233
35.37,492,233
36.13,492,232
36.90,492,232
37.66,492,231
38.42,492,235
39.19,492,233
39.95,492,230
50.26,76,211
51.07,540,222
51.87,540,229
52.68,556,223
