Angle_deg,Distance_mm,Intensity
357.73,2466,215
358.52,2029,215
359.31,1998,213
0.10,2029,214
0.89,2076,213
1.68,1998,215
2.47,2045,212
3.26,2045,213
4.05,2294,212
4.84,1687,215
5.63,1687,211
6.42,2029,211
7.22,2263,214
8.01,2076,212
8.80,1967,211
9.59,1687,214
10.38,1671,210
11.17,1671,218
11.96,1687,221
12.75,1780,214
13.54,1796,218
14.33,1796,215
15.12,1827,211
15.91,1952,218
16.70,1936,219
17.49,1920,219
18.28,1920,218
19.07,1905,217
19.86,1905,218
20.65,1889,216
21.44,1889,215
22.23,1874,215
23.02,1780,212
23.81,1780,213
24.60,1983,211
25.39,1983,210
26.22,2341,223
27.01,2357,216
27.80,2388,210
28.59,2419,215
29.38,3121,219
30.17,3121,223
30.96,3136,221
31.75,3152,223
32.54,3152,225
33.33,3167,225
34.12,3167,223
34.91,3183,224
35.70,3198,226
36.49,3214,225
37.29,3214,225
38.08,3245,225
38.87,3261,223
39.67,3245,212
40.46,3261,171
41.26,3308,119
42.05,3308,148
42.84,3323,119
43.64,54,96
44.43,3354,116
45.18,3354,113
45.97,3385,142
46.77,3417,180
47.56,3495,222
48.35,3573,229
49.15,3573,227
49.94,3619,217
50.74,3604,197
51.53,3806,213
52.32,3744,217
53.12,3775,225
53.91,3682,217
54.70,3573,218
55.49,3510,218
56.28,2902,217
57.07,2902,221
57.86,3339,214
58.65,1983,218
59.44,1998,232
60.23,2014,233
61.02,2029,232
61.81,2029,231
62.60,2045,232
63.39,2061,233
64.19,2076,233
64.97,2092,233
65.74,2107,234
66.52,2123,232
67.30,2139,234
68.07,2154,229
68.85,2170,229
69.62,2185,230
70.40,2201,231
71.18,2232,231
71.95,2248,230
72.73,2263,229
73.53,2294,228
74.34,2326,229
75.14,2341,227
75.95,2372,227
76.76,2404,230
77.56,2419,229
78.37,2388,226
79.17,2388,231
79.98,2217,215
80.79,2217,224
81.59,2217,225
82.40,2326,234
83.19,2092,226
83.98,2076,229
84.77,2061,230
85.56,2061,230
86.35,2076,229
87.14,2107,223
87.93,2294,229
88.72,2310,229
89.51,2326,233
90.30,2326,230
91.09,2248,221
91.88,2217,229
92.71,2217,229
93.50,2217,223
94.29,2419,219
95.08,2123,135
95.87,2092,126
96.66,2045,187
97.45,2045,100
98.24,277,119
99.03,1983,103
99.82,1967,119
100.61,2014,126
101.40,318,148
102.19,1936,142
102.99,331,138
103.78,338,158
104.58,410,158
105.38,331,174
106.17,311,180
106.97,224,214
107.76,210,212
108.56,210,214
109.36,1842,213
110.15,197,174
110.95,250,213
111.71,237,216
112.48,230,218
113.26,1655,215
114.03,1655,218
114.80,1671,213
115.58,2014,221
116.35,2014,232
117.13,2029,222
117.90,2388,225
118.67,2357,222
119.45,2357,224
120.22,2107,225
121.01,2107,221
121.82,1313,229
122.62,2263,215
123.43,1406,221
124.24,1406,223
125.04,1437,218
125.85,2014,211
126.65,2201,216
127.46,2201,224
128.27,2185,228
129.07,2154,227
129.88,2154,215
130.68,1733,226
131.48,2139,216
132.27,2107,222
133.07,2061,224
133.87,2061,225
134.66,2310,221
135.46,2388,232
136.25,2372,220
137.05,2357,231
137.85,2357,227
138.64,2341,225
139.44,2341,226
140.20,2326,228
141.00,1157,222
141.81,1157,226
142.61,2310,224
143.41,1640,218
144.21,1640,221
145.02,2279,224
145.82,2279,225
146.62,2279,223
147.42,2279,225
148.23,2279,224
149.03,2279,222
149.86,2279,221
150.66,2279,219
151.47,1172,226
152.27,1188,220
153.07,1655,222
153.87,1998,221
154.68,1998,226
155.48,1998,224
156.28,1998,223
157.08,2014,219
157.89,2279,217
158.69,2279,217
159.49,2014,216
160.28,2279,216
161.08,2279,216
161.87,2294,217
