Angle_deg,Distance_mm,Intensity
33.24,2068,233
33.99,2068,232
34.75,2052,231
35.50,2036,233
36.26,2021,232
37.01,2005,231
37.77,1990,232
38.52,1990,233
39.28,1974,229
40.03,1101,233
40.79,1101,231
41.54,1179,233
42.30,1179,230
43.09,1226,215
43.88,1912,227
44.68,1912,226
45.47,1896,221
46.26,1896,228
47.05,1912,219
47.84,1522,230
48.63,1912,231
49.43,1865,226
50.22,1849,230
51.01,2192,226
51.84,2192,238
52.66,2177,225
53.47,2255,214
54.29,2255,214
55.11,1912,212
55.93,2255,216
56.74,2192,215
57.56,2192,217
58.38,2208,216
59.20,2192,220
60.01,2177,221
60.83,2177,217
61.62,2177,220
62.40,2161,217
63.17,1475,224
63.95,1008,235
64.73,1023,229
65.51,2130,233
66.28,2145,237
67.06,2145,230
67.84,2130,233
68.62,2130,234
69.39,2130,227
70.17,2161,217
70.93,2177,214
71.73,1538,213
72.52,1538,229
73.32,2177,211
74.11,1070,220
74.91,1070,233
75.70,1086,211
76.50,2177,212
77.29,2208,212
78.09,3127,212
78.88,3127,215
79.68,3143,217
80.47,3159,210
81.24,2239,210
82.02,2255,210
82.79,2255,212
83.57,2239,228
84.34,2255,228
85.12,2239,235
85.89,1647,219
86.67,1647,228
87.44,1958,219
88.22,2286,228
88.99,2301,228
89.78,2317,228
90.57,2332,229
91.36,2348,229
92.15,2364,227
92.94,2379,227
93.73,2395,228
94.53,1241,222
95.32,1241,230
96.11,2457,220
96.90,1351,226
97.69,1319,230
98.48,1335,229
99.27,2535,226
100.07,2566,228
100.86,2597,228
101.66,2629,234
102.45,2582,230
103.25,2520,226
104.04,2473,226
104.84,2426,227
105.63,2395,226
106.43,2410,229
107.22,2426,228
108.02,2457,227
108.78,2488,229
109.57,2520,228
110.37,2551,228
111.16,2566,226
111.95,2613,228
112.75,2644,227
113.54,2675,228
114.34,2722,225
115.13,2769,223
115.92,2036,211
116.72,2021,212
117.51,2021,215
118.30,2005,216
119.09,2021,213
119.89,2005,215
120.68,2005,216
121.47,1990,215
122.26,1990,215
123.06,1990,214
123.85,1990,216
124.64,1990,215
125.43,1990,216
126.23,1990,216
127.02,1974,216
127.79,1990,216
128.58,1990,216
129.38,1990,216
130.17,1990,217
130.96,1990,216
131.75,1990,216
132.55,1990,217
133.34,1990,217
134.13,1990,214
134.92,2005,215
135.72,2005,214
136.51,2005,215
137.30,2021,216
138.13,2021,216
138.96,2021,215
139.79,2036,215
140.62,2052,212
141.45,2052,216
142.28,2068,213
143.11,2052,213
143.94,2068,212
144.77,2083,212
145.60,2099,211
146.43,2099,210
147.26,2114,210
148.05,2130,197
148.84,2130,210
149.63,2145,211
150.42,2161,210
151.21,2161,211
151.99,2177,212
152.78,2192,210
153.57,2223,171
154.36,2239,206
155.15,2192,106
155.94,2114,96
156.73,2052,74
157.52,2021,103
158.32,1958,93
159.11,1927,80
159.91,1912,119
160.70,1849,106
161.50,1787,126
162.29,1756,113
163.09,1709,200
163.88,1693,214
164.68,1725,211
165.47,1740,210
166.22,1756,193
167.02,1787,187
167.83,1849,168
168.63,1818,148
169.43,1834,148
170.24,1865,161
171.04,1896,168
171.85,1943,151
172.65,1958,168
173.45,1974,138
174.26,1990,151
175.06,2036,119
175.89,2068,145
176.68,2130,106
177.46,2130,187
178.25,2223,225
179.04,2255,224
179.82,2286,212
180.61,1865,223
181.39,1865,234
182.18,1880,220
182.97,4405,215
183.75,76,126
184.54,98,106
185.37,79,106
186.19,62,109
187.01,3844,145
187.83,3626,210
188.65,3860,180
189.47,3844,190
190.28,4826,211
191.10,4826,216
191.92,4811,217
192.74,2473,221
193.56,2473,221
194.38,2488,224
195.18,2457,222
195.96,2520,220
196.73,2457,222
197.51,2442,228
198.29,2442,225
199.07,2442,223
199.84,2426,224
200.62,2426,225
201.40,2457,218
202.18,2317,218
202.95,2317,222
203.73,2317,218
204.56,2317,217
205.35,2535,217
206.14,2551,219
206.93,2831,219
207.72,1990,218
208.51,1974,221
209.29,1990,219
210.08,1990,220
210.87,1990,219
211.66,2005,221
212.45,2005,221
213.24,2005,219
214.03,2021,220
214.81,2021,219
215.58,2021,221
216.36,2036,220
217.14,2036,220
217.92,2052,221
218.69,2052,222
219.47,2068,222
220.25,2068,221
221.03,2083,224
221.80,2083,223
222.58,2099,225
223.38,2114,226
224.20,2130,225
225.03,2145,225
225.85,3938,221
226.67,3953,215
227.49,5247,220
228.32,5278,220
229.14,5325,219
229.96,5372,220
230.78,5403,210
231.61,3657,211
232.43,3704,214
233.22,3829,214
234.01,3922,212
234.80,4047,210
235.59,4203,211
236.38,4343,215
237.17,4390,219
237.96,4437,220
238.75,4483,219
239.54,4530,220
240.33,4577,219
241.12,4624,221
241.91,2348,215
242.74,2317,229
243.51,2286,229
244.28,2239,228
245.05,2255,234
245.82,2208,231
246.59,2177,229
247.36,2177,230
248.13,2192,235
248.90,2223,231
249.67,2239,225
250.44,2660,223
251.21,1990,227
252.01,1958,222
252.81,1958,224
253.60,1927,224
254.40,1912,226
255.19,1865,219
255.99,1849,223
256.78,1849,222
257.58,1880,221
258.37,1912,219
259.17,1834,220
259.96,1803,221
260.76,1771,220
261.52,1787,221
262.33,2145,210
263.13,1740,212
263.94,1787,218
264.75,1709,221
265.55,1740,219
266.36,1709,220
267.16,1709,218
267.97,1631,216
268.78,1616,215
269.58,1647,216
270.39,1693,217
271.22,1709,216
272.02,1647,214
272.82,1647,214
273.62,1647,215
274.42,1678,216
275.22,1740,214
276.03,1740,216
276.83,1740,215
277.63,1756,217
278.43,1803,214
279.23,1880,217
280.03,1865,226
280.82,1849,229
281.62,1834,222
