Angle_deg,Distance_mm,Intensity
21.42,454,234
22.22,454,235
23.02,446,233
23.82,450,233
24.62,444,236
25.42,441,235
26.22,440,235
27.02,439,234
27.82,439,234
28.62,439,232
29.42,439,235
30.22,439,235
40.35,433,232
41.15,436,235
41.94,437,232
42.74,430,233
43.54,427,236
44.33,433,233
45.13,436,232
45.92,437,233
46.72,438,233
47.52,438,233
48.31,438,234
49.11,438,235
59.28,454,234
60.10,454,236
60.93,446,235
61.75,442,236
62.57,440,234
63.39,439,236
64.22,439,234
65.04,439,235
65.86,439,235
66.68,439,233
67.51,431,236
68.33,427,238
78.68,411,233
79.45,410,234
80.23,409,236
81.00,409,234
81.77,409,233
82.55,402,233
83.32,405,234
84.10,407,235
84.87,415,237
85.64,412,236
86.42,418,235
87.19,421,237
97.40,437,235
98.19,438,235
98.98,438,234
99.77,446,233
100.56,450,236
101.35,452,235
102.14,460,236
102.93,464,234
103.72,466,237
104.51,467,237
105.30,467,236
106.09,476,238
116.22,548,238
117.01,548,226
117.81,548,232
118.60,548,233
119.39,548,231
120.18,548,234
120.98,548,234
121.77,548,234
122.56,548,235
123.35,548,233
124.15,548,234
124.94,548,236
135.69,564,235
136.48,564,233
137.28,564,234
138.07,579,232
138.86,579,235
139.65,579,234
140.45,579,234
141.24,579,235
142.03,579,233
142.82,595,235
143.62,595,232
144.41,595,234
154.73,657,232
155.52,657,233
156.30,673,233
157.09,688,234
157.88,688,232
158.66,688,233
159.45,704,235
160.23,704,234
161.02,720,237
161.81,735,234
162.59,735,232
163.38,766,235
173.80,953,233
174.59,969,215
175.39,642,158
176.18,1016,96
176.97,1047,211
177.77,1031,231
178.56,1063,234
179.36,1094,234
180.15,1109,232
180.94,1140,232
181.74,1172,232
182.53,1187,231
193.13,5629,168
193.93,5972,210
194.72,6144,213
195.52,6284,214
196.32,6268,219
197.11,6253,215
197.91,1359,214
198.70,6253,213
199.50,6284,216
200.30,6315,215
201.09,6362,215
201.89,6440,210
296.96,6486,93
320.95,6409,215
344.93,6315,212
8.92,4585,210
80.88,5676,14
190.63,5099,215
191.32,5676,14
230.99,6985,177
231.78,6923,161
232.57,6876,158
233.36,6814,187
234.15,4803,216
234.94,4772,218
235.73,4741,219
236.52,4725,220
237.31,4694,220
238.10,4663,220
238.89,4647,222
239.68,4616,221
249.67,2356,223
250.46,2356,225
251.25,2403,216
252.04,1483,219
252.83,1468,230
253.62,1468,231
254.41,1468,231
255.20,1468,235
255.99,1452,230
256.78,1437,222
257.57,1405,229
258.36,1405,227
268.81,1265,220
269.64,1717,225
270.48,1686,229
271.31,1670,226
272.14,1639,228
272.97,1624,228
273.81,1592,229
274.64,1577,228
275.47,1546,230
276.30,1530,228
277.14,1515,229
277.97,1499,227
288.29,1312,233
289.08,1296,233
289.87,1296,233
290.66,1280,231
291.45,1265,232
292.24,1265,234
293.02,1249,232
293.81,1249,228
294.60,1234,233
295.39,1234,234
296.18,1218,236
296.97,1218,235
307.72,238,236
308.51,237,235
309.29,236,237
310.08,236,234
310.87,236,235
311.65,239,235
312.44,241,236
313.22,243,235
314.01,244,233
314.80,240,235
315.58,251,234
316.37,250,234
326.72,276,232
327.51,283,234
328.30,280,234
329.09,285,234
329.88,287,234
330.67,282,233
331.46,292,231
332.25,297,230
333.04,300,231
333.83,295,231
334.62,306,230
335.41,304,230
346.16,532,217
346.87,548,218
347.58,548,217
348.28,563,219
348.99,486,217
349.70,477,226
350.41,472,231
351.12,479,233
351.83,482,232
352.53,501,233
353.24,501,231
353.95,532,231
4.30,517,220
5.11,517,219
5.93,128,220
6.74,120,223
7.55,116,220
8.36,122,224
9.18,125,226
9.99,134,219
10.80,131,224
11.61,122,221
12.43,117,218
13.24,468,220
23.22,443,238
24.02,448,233
24.81,443,236
25.61,448,234
26.41,443,234
27.21,441,236
28.00,440,233
28.80,439,235
29.60,446,232
30.40,435,236
31.19,437,234
31.99,438,233
41.90,439,233
42.70,439,236
43.49,439,233
44.29,439,233
45.09,439,234
45.89,439,233
46.68,439,234
47.48,439,233
48.28,439,233
49.08,439,236
49.87,439,233
50.67,439,233
60.94,440,237
61.76,447,237
62.58,443,233
63.40,441,235
64.22,440,233
65.04,439,234
65.86,439,234
66.68,439,236
67.50,431,235
68.32,427,235
69.14,425,235
69.96,424,234
80.27,411,233
81.03,410,235
81.79,409,233
82.55,416,233
83.31,412,234
84.07,410,237
84.84,417,235
85.60,413,235
86.36,418,234
87.12,421,234
87.88,422,234
88.64,423,235
215.45,5932,14
251.02,9891,190
108.43,483,238
109.22,501,236
110.02,501,237
110.81,501,238
111.60,501,238
112.40,517,237
113.19,517,237
113.99,517,235
114.78,532,237
115.57,532,237
116.37,548,237
117.16,548,228
127.40,548,235
128.18,548,233
128.96,548,234
129.74,548,232
130.52,548,233
131.30,548,234
132.08,548,235
132.86,563,236
133.64,563,233
134.42,563,236
135.20,563,236
135.98,563,235
146.58,610,235
147.38,610,233
148.17,610,234
148.97,626,233
149.77,626,236
150.56,626,235
151.36,641,236
152.15,641,234
152.95,641,235
153.75,657,235
154.54,657,234
155.34,657,237
165.91,797,236
166.71,813,239
167.52,828,235
168.32,813,235
169.12,797,231
169.92,782,232
170.73,844,226
171.53,906,235
172.33,891,237
173.13,937,234
173.94,953,232
174.74,969,213
185.06,1327,213
185.90,6720,217
186.74,6704,217
187.59,6642,213
