Angle_deg,Distance_mm,Intensity
317.12,3381,223
317.91,3397,217
318.70,3459,223
319.49,3413,214
320.28,3584,193
321.07,3568,219
321.85,3537,227
322.64,3491,222
323.43,3413,226
324.22,3319,224
325.01,3226,226
325.80,3194,218
336.09,1901,229
336.90,1901,228
337.71,1916,229
338.52,1932,229
339.33,1948,230
340.14,1963,230
340.95,1979,230
341.76,1994,229
342.57,2025,231
343.38,2041,230
344.19,2057,230
345.00,2072,231
345.80,2103,231
346.54,2119,230
347.29,2135,228
348.03,2150,230
348.77,2119,227
349.52,1963,218
350.26,1932,229
351.01,1932,231
351.75,1932,231
352.49,1963,225
353.24,1807,228
353.98,1792,231
354.77,1776,231
355.56,1776,232
356.36,1776,230
357.15,1776,231
357.94,1807,231
358.74,1823,223
359.53,2041,233
0.33,2041,231
1.12,2057,233
1.91,2072,231
2.71,1963,222
3.50,1948,228
4.29,1948,229
5.07,1948,229
5.84,2119,220
6.62,1854,190
7.40,1823,168
8.18,1807,177
8.95,1807,174
9.73,1792,210
10.51,1745,206
11.29,1745,210
12.06,1714,210
12.84,1714,210
13.67,1667,206
14.46,1651,210
15.25,1636,190
16.04,1636,211
16.83,1605,210
17.62,1605,211
18.41,1605,211
19.20,1573,212
19.99,1558,210
20.78,1558,211
21.57,1558,212
22.36,1542,216
22.94,1573,221
23.73,1605,216
24.53,1683,216
25.32,1714,217
26.11,1433,215
26.90,1418,221
27.70,1402,230
28.49,1386,229
29.28,1402,226
30.07,1418,228
30.87,1776,232
31.66,1760,233
32.46,1792,219
33.26,2072,232
34.05,2057,230
34.85,2041,231
35.65,2041,232
36.44,2025,232
37.24,2010,232
38.03,1994,231
38.83,1979,228
39.63,1979,220
40.42,1106,229
41.22,1106,226
41.97,1184,234
42.76,1199,221
43.56,1916,217
44.35,1916,225
45.14,1916,221
45.94,1901,225
46.73,1901,230
47.53,1527,224
48.32,1527,224
49.11,1916,227
49.91,1854,228
50.70,1854,225
51.53,2197,232
52.32,2197,233
53.10,2197,221
53.89,2275,214
54.68,2275,212
55.46,2244,215
56.25,2244,214
57.03,2212,216
57.82,2244,214
58.61,2228,215
59.39,2181,216
60.18,2181,216
60.98,2166,217
61.76,2166,217
62.54,1464,216
63.32,1012,218
64.10,1012,230
64.88,1028,219
65.66,2103,231
66.44,2150,233
67.22,2135,230
68.00,2135,228
68.78,2135,226
69.56,2150,221
70.32,2166,213
71.11,2166,212
71.91,1527,218
72.70,1542,219
73.49,2181,211
74.28,1075,224
75.08,1075,226
75.87,2212,210
76.66,2181,211
77.45,2212,211
78.25,3101,211
79.04,3148,214
79.84,3148,211
80.63,2212,210
81.42,2244,210
82.21,2244,210
83.00,2244,217
83.79,2244,225
84.58,2259,228
85.37,2244,228
86.16,1651,224
86.95,1932,216
87.74,2275,222
88.53,2290,229
89.32,2306,225
90.10,2322,226
90.88,2337,224
91.66,2368,225
92.44,2384,225
93.22,2400,224
94.00,2415,225
94.78,1246,226
95.56,1246,223
96.34,2462,217
97.12,1340,222
97.90,1324,226
98.66,2540,217
99.45,2555,225
100.25,2571,226
101.04,2602,226
101.83,2618,230
102.62,2555,223
103.42,2493,222
104.21,2446,223
105.00,2400,224
105.79,2384,225
106.59,2431,225
107.38,2462,224
108.21,2477,226
109.04,2509,226
109.87,2540,227
110.70,2571,227
111.53,2602,225
112.36,2633,226
113.19,2664,223
114.02,2711,223
114.85,2742,222
115.68,2057,211
116.51,2025,214
117.34,2025,214
118.13,2010,215
118.92,2025,212
119.72,2010,214
120.51,2010,217
121.30,1994,216
122.10,1994,215
122.89,1994,216
123.69,1994,217
124.48,1994,215
125.27,1979,217
126.07,1994,217
126.86,1979,216
127.61,1979,215
128.41,1994,216
129.20,1994,216
130.00,1994,216
130.80,1994,218
131.59,1994,216
132.39,1994,217
133.18,1994,217
133.98,2010,216
134.78,2010,216
135.57,2010,216
136.37,2010,216
137.17,2026,217
137.98,2026,216
138.80,2026,216
139.61,2041,215
140.42,2041,215
141.23,2041,214
142.05,2057,214
142.86,2057,214
143.67,2072,213
144.48,2072,212
145.30,2088,211
146.11,2088,206
146.90,2104,211
147.69,2119,184
148.49,2135,210
149.28,2135,210
150.07,2150,212
150.87,2166,211
151.66,2181,211
152.46,2213,211
153.25,2213,187
154.04,2244,168
154.84,2244,174
155.63,2135,119
156.42,2072,93
157.23,2041,71
158.04,1979,103
158.85,1963,103
159.66,1885,113
160.47,1870,100
161.28,1807,106
162.09,1761,155
162.90,1745,184
163.71,1698,215
164.52,1714,212
165.33,1729,210
166.12,1745,210
166.89,1776,171
167.67,1823,174
168.44,1807,155
169.21,1823,145
169.99,1870,151
170.76,1885,161
171.54,1916,135
172.31,1932,129
173.08,1963,177
173.86,1994,206
174.63,2026,113
175.46,2057,187
176.25,2072,158
177.04,2119,145
177.83,2213,218
178.62,2228,224
179.41,2291,222
180.20,1885,214
180.99,1854,232
181.78,1870,229
182.57,4363,219
183.36,4441,211
184.15,35,126
184.94,3865,103
185.76,3849,126
186.58,3880,116
187.40,3678,168
188.22,3865,190
189.04,3849,210
189.86,4847,187
190.68,4831,213
191.50,4815,221
192.32,2478,220
193.14,2478,221
193.96,2478,224
194.72,2478,224
195.52,2462,222
196.33,2462,221
197.13,2462,227
197.93,2446,224
198.73,2431,224
199.54,2431,222
200.34,2431,225
201.14,2415,221
201.94,2384,217
202.75,2322,219
203.55,2306,222
204.38,2353,217
205.17,2509,214
205.96,2540,220
206.75,2836,225
207.54,1994,215
208.33,1994,220
209.12,1979,220
209.91,1994,221
210.70,1994,220
211.49,1994,221
212.28,1994,219
213.07,2010,220
213.86,2010,221
214.65,2010,221
215.45,2026,221
216.24,2026,221
217.03,2041,223
217.83,2041,220
218.62,2057,222
219.42,2057,221
220.21,2072,221
221.00,2072,221
221.80,2088,223
222.59,2088,221
223.34,2104,223
224.13,2119,225
224.93,2135,225
225.72,3927,217
226.51,3943,216
227.31,5236,214
228.10,5267,220
228.90,5314,223
229.69,5345,221
230.48,5377,218
231.28,5080,164
232.07,3678,214
232.86,3787,214
233.65,3880,214
234.45,4005,212
235.24,4161,212
236.03,4317,214
236.83,4379,217
237.62,4410,219
238.42,4473,220
239.21,4504,219
240.00,4551,221
240.80,4597,219
241.59,4660,220
242.38,2353,224
243.16,2306,229
243.93,2259,226
244.71,2244,228
245.49,2228,235
246.27,2181,226
247.04,2166,230
247.82,2197,232
248.60,2213,232
249.38,2228,231
250.15,2649,224
250.93,1994,221
251.72,1963,226
252.51,1963,224
253.31,1948,222
254.10,1916,222
254.89,1885,223
255.69,1854,218
256.48,1839,221
257.28,1870,219
258.07,1901,220
258.86,1854,218
259.66,1807,221
260.45,1792,219
261.28,1776,219
262.05,1792,218
262.82,2400,212
263.59,1745,214
264.36,1729,215
265.13,1714,218
265.90,1714,218
266.67,1714,217
267.44,1714,215
268.21,1605,193
268.98,1620,210
269.75,1667,210
270.54,1714,213
271.36,1683,210
272.18,1652,168
273.00,1652,138
273.82,1667,210
274.64,1683,210
275.46,1745,213
276.28,1745,217
277.10,1745,213
277.92,1776,217
278.74,1807,213
279.56,1870,218
280.35,1854,224
281.14,1839,228
281.94,1823,220
282.73,1823,221
283.52,1807,221
284.32,1792,218
285.11,1776,218
285.91,1776,217
286.70,1761,214
287.49,1792,216
288.29,1839,211
289.08,1870,215
289.91,2259,218
290.73,2244,224
291.54,2244,220
292.36,2244,224
293.18,2259,224
293.99,2275,223
294.81,2306,217
295.62,2446,211
296.44,3023,215
297.26,3008,216
298.07,3023,222
298.89,3023,225
299.68,3039,226
300.45,3039,225
301.23,3054,226
302.00,3054,224
302.77,3054,225
303.55,3070,228
304.32,3070,227
305.10,3070,228
305.87,3101,227
306.64,3085,221
307.42,3117,213
308.19,3101,214
308.98,3132,212
309.78,3132,211
310.57,3148,210
311.37,3163,210
312.17,3179,203
312.96,3210,197
313.76,3210,211
314.55,3226,200
315.35,3288,217
316.15,3319,217
316.94,3382,221
317.74,3397,216
318.50,3475,222
319.29,3413,215
320.09,3569,212
320.88,3537,219
321.67,3537,227
322.47,3491,222
323.26,3382,226
324.06,3304,226
324.85,3210,226
325.64,1761,221
326.44,1776,231
327.23,1776,233
328.06,1792,232
328.94,1792,233
329.82,1807,232
330.71,1823,232
331.59,1823,231
332.47,1839,230
333.35,1854,229
334.23,1854,231
335.11,1870,228
336.00,1885,229
336.88,1901,230
337.76,1916,230
338.55,1916,228
339.35,1932,228
340.15,1963,228
340.94,1979,229
341.74,1994,228
342.54,2010,230
343.34,2026,230
344.14,2041,231
344.94,2057,231
345.73,2072,231
346.53,2104,230
347.33,2119,230
348.08,2150,227
348.77,2135,231
349.47,2135,227
350.16,1948,222
350.86,1932,230
351.55,1932,233
352.25,1948,233
352.94,1963,220
353.64,1807,227
354.33,1792,231
