Angle_deg,Distance_mm,Intensity
163.71,1917,219
164.50,1933,223
165.29,1933,223
166.08,1948,216
166.87,1714,221
167.66,1979,220
168.45,1995,222
169.24,2073,212
170.03,2073,215
170.82,2088,217
171.61,2088,215
172.40,1247,222
163.71,1917,219
164.50,1933,223
165.29,1933,223
166.08,1948,216
166.87,1714,221
167.66,1979,220
168.45,1995,222
169.24,2073,212
170.03,2073,215
170.82,2088,217
171.61,2088,215
172.40,1247,222
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
177.92,2198,213
178.71,2494,213
179.51,2509,214
180.30,2525,214
181.10,2229,211
181.89,2260,212
173.15,1247,224
173.94,2120,213
174.74,2151,211
175.53,1340,220
176.33,1340,226
177.12,2166,214
